dataset,variant,attack_seed,exact_match_rate,near_duplicate_rate_0_001,near_duplicate_rate_0_01,dcr_mean,dcr_median,dcr_p01,dcr_p05,nndr_mean,nndr_median,train_to_holdout_dcr_ratio_median
ecg,dp_eps2,505,0.0,0.0,0.0,0.08577067008397742,0.08415285906872115,0.04623536633101529,0.05476534600763147,0.9554252423366085,0.9743193223411222,0.5253314907158813
ecg,countergan,606,0.0,0.0,0.0,0.07767044447788572,0.07668833730490489,0.04466918797895961,0.05143337255932667,0.9471675267572248,0.9665785087916204,0.5351872746389954
ecg,dp_eps16,606,0.0,0.0,0.0,0.07637128728310474,0.07451672568601707,0.04243919910388991,0.049318167384706346,0.955789832704088,0.9731777788716593,0.45277043018459706
ecg,dp_eps8,606,0.0,0.0,0.0,0.07661009711481943,0.0755202610603178,0.03860112153581489,0.045537174489689594,0.9563212083038077,0.9719864702112099,0.4244138420615329
ecg,dp_eps4,606,0.0,0.0,0.0,0.08426515083897351,0.08255698055979063,0.04838862322289981,0.0559994010353788,0.9535291624147886,0.9676653952141722,0.47399287485326824
ecg,dp_eps2,606,0.0,0.0,0.0,0.08420227539152227,0.08293916106730037,0.046193985311734555,0.05492655787578137,0.9553920519798921,0.9727397024740685,0.49142239187654246
ecg,countergan,707,0.0,0.0,0.0,0.07806713713229783,0.07685814940067409,0.04498277748121428,0.0504799123277124,0.943485462995893,0.9657284304414206,0.5724292407277582
ecg,dp_eps16,707,0.0,0.0,0.0,0.07700174372703605,0.07621714239235483,0.043257757579835486,0.04882142368856926,0.9583629005854751,0.9745607941704616,0.48362987589793127
ecg,dp_eps8,707,0.0,0.0,0.0,0.0771000264425436,0.07587385633178634,0.03760525509487148,0.045380733713681835,0.9525437432644869,0.9684785653802481,0.4462166914518216
ecg,dp_eps4,707,0.0,0.0,0.0,0.08476410530440451,0.08249587832660218,0.04730367323789665,0.05598791662774817,0.9514860506401297,0.9677526104861504,0.4907595556725465
ecg,dp_eps2,707,0.0,0.0,0.0,0.08444461659445035,0.0824125882991722,0.047572478148553136,0.054419074640823184,0.9540454431187063,0.9726050707649995,0.5108432591849394
ecg,countergan,808,0.0,0.0,0.0,0.07811700516780203,0.07734769031038498,0.04479119645704135,0.050532254064036455,0.9458609616985134,0.9678372188242217,0.5920363256699355
ecg,dp_eps16,808,0.0,0.0,0.0,0.07681947323644622,0.07502035762769185,0.04386612867189404,0.04904582728769538,0.9604338672926017,0.9766946051696697,0.49007191763968
ecg,dp_eps8,808,0.0,0.0,0.0,0.07739820670329155,0.07616258087700634,0.03921781143469358,0.045335987440094434,0.9590551213302205,0.9720175381667884,0.45410494979121413
ecg,dp_eps4,808,0.0,0.0,0.0,0.08358523077781979,0.08121779940307067,0.04908672753256088,0.05650745354269712,0.9518200804010631,0.9685475835952333,0.5138198071368042
ecg,dp_eps2,808,0.0,0.0,0.0,0.08416671810012379,0.08272887515614565,0.04753293169566847,0.05479659634462239,0.9590683935047907,0.9757088638004794,0.5251393849889885
ecg,countergan,909,0.0,0.0,0.0,0.07839281352459662,0.07710215516131441,0.04654085423959093,0.05274541456841223,0.9457026053082479,0.9667105000799326,0.5660881381043021
ecg,dp_eps16,909,0.0,0.0,0.0,0.07745812749557965,0.07626608948612396,0.04559589654132847,0.051528146494587174,0.9592509389283018,0.9752753313749079,0.46646664794505477
ecg,dp_eps8,909,0.0,0.0,0.0,0.07807804322784978,0.0781604819590283,0.03819753395520319,0.04669806810645617,0.9576402953196413,0.9728170274115755,0.43311663245820187
ecg,dp_eps4,909,0.0,0.0,0.0,0.08474817042308994,0.0830526190312168,0.048134065048611015,0.05763390976357625,0.954806278600213,0.9683056435856476,0.47888579995875574
ecg,dp_eps2,909,0.0,0.0,0.0,0.08468262051509834,0.08392454036849369,0.04834591133580469,0.05604843409477211,0.9563647527012561,0.9735351024512413,0.49109195618091817
ecg,countergan,1010,0.0,0.0,0.0,0.07915333123647096,0.07839342547655677,0.043902653266488637,0.05006190997792575,0.945012503862035,0.9664651535674356,0.5843643563536491
ecg,dp_eps16,1010,0.0,0.0,0.0,0.07803409692770341,0.07681918498171314,0.04287456670968152,0.05040835444218273,0.9575506360608778,0.9751270205248161,0.4919467446001479
ecg,dp_eps8,1010,0.0,0.0,0.0,0.07857340902164725,0.07779356867981332,0.03947775928709851,0.04563850480319444,0.9552627240101768,0.9705468094299408,0.4551878889143668
ecg,dp_eps4,1010,0.0,0.0,0.0,0.08481285443400194,0.08238778821619577,0.04825050078844511,0.05520307563556753,0.9531645310620793,0.9705743365999004,0.4942783743361378
ecg,dp_eps2,1010,0.0,0.0,0.0,0.0857884424471889,0.0848262997741642,0.04822176584560179,0.054872099152661793,0.9558754499437332,0.9749721270428611,0.5319312645733153
