method,candidate_budget,direction,n_query_seed_runs,mean_valid_cfe_yield_at_k,mean_full_k_success,mean_robust_yield_at_k,mean_rounds_to_k10_or_cap,median_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,mean_time_to_k10_or_cap_seconds
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,100,0.13,0.03,0.128,1.0,1.0,128.0,0.014963851690044976
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,100,0.83,0.76,0.815,1.74,2.0,222.72,0.04052584499997465
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,100,0.309,0.22,0.301,1.97,2.0,252.16,0.032927920940082914
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,100,0.8740000000000001,0.84,0.845,2.1,2.0,268.8,0.04709147177002706
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,100,0.489,0.4,0.47200000000000003,3.5,4.0,448.0,0.05942834561998098
proposed_dp_eps8_sparse_diverse,1024,disease_to_no_disease,100,0.912,0.89,0.878,2.61,2.0,334.08,0.05698531936001018
proposed_dp_eps8_sparse_diverse,1024,no_disease_to_disease,100,0.586,0.49,0.5529999999999999,5.88,8.0,752.64,0.09978286702998958
uniform_random,128,disease_to_no_disease,100,0.06,0.0,0.057,1.0,1.0,128.0,0.006292620679960237
uniform_random,128,no_disease_to_disease,100,0.035,0.0,0.03,1.0,1.0,128.0,0.006248061910018805
uniform_random,256,disease_to_no_disease,100,0.20199999999999999,0.04,0.192,2.0,2.0,256.0,0.012591007200053355
uniform_random,256,no_disease_to_disease,100,0.081,0.01,0.077,2.0,2.0,256.0,0.012312568780025686
uniform_random,512,disease_to_no_disease,100,0.43200000000000005,0.3,0.41,3.8,4.0,486.4,0.023899304240021593
uniform_random,512,no_disease_to_disease,100,0.155,0.14,0.15,3.91,4.0,500.48,0.02392264081002395
uniform_random,1024,disease_to_no_disease,100,0.6759999999999999,0.57,0.639,6.15,7.5,787.2,0.041167674229991465
uniform_random,1024,no_disease_to_disease,100,0.254,0.17,0.248,7.33,8.0,938.24,0.044524121270032996
wachter_style,128,disease_to_no_disease,100,0.006000000000000001,0.0,0.006000000000000001,1.0,1.0,128.0,0.018235655530043006
wachter_style,128,no_disease_to_disease,100,0.0030000000000000005,0.0,0.0030000000000000005,1.0,1.0,128.0,0.018130655739978466
wachter_style,256,disease_to_no_disease,100,0.026000000000000002,0.0,0.026000000000000002,1.0,1.0,256.0,0.03207740046998879
wachter_style,256,no_disease_to_disease,100,0.013000000000000001,0.0,0.013000000000000001,1.0,1.0,256.0,0.03197771059000843
wachter_style,512,disease_to_no_disease,100,0.28900000000000003,0.03,0.287,1.0,1.0,512.0,0.05892738213001394
wachter_style,512,no_disease_to_disease,100,0.09300000000000001,0.0,0.09300000000000001,1.0,1.0,512.0,0.05937379686002714
wachter_style,1024,disease_to_no_disease,100,0.318,0.03,0.318,1.0,1.0,1024.0,0.11198890419994313
wachter_style,1024,no_disease_to_disease,100,0.17800000000000002,0.0,0.17600000000000002,1.0,1.0,1024.0,0.11286822125000981
