method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
dice_gradient_style,Custom DiCE-style gradient,512,0.1975,0.55,0.015,0.19650000000000004,0.015,0.08611490347766058,0.46212726390860326,0.46212726390860326,0.046420959366744834,0.3404643640811087,0.3404643640811087,0.6478791148962647,0.5118451165684731,0.9182371983092896,0.9182371983092896,0.993883828291276,1.0,0.5118680799363973,0.06757859476995236,512.0,1.0
dice_gradient_style,Custom DiCE-style gradient,1024,0.25749999999999995,0.72,0.015,0.257,0.015,0.10042714772688208,0.4729538154352165,0.4729538154352165,0.05190799608068777,0.370011068762203,0.370011068762203,0.4592746865682872,0.5209000717938107,0.944514930362901,0.944514930362901,0.9943623051676989,1.0,0.6539756838749538,0.13076168730005067,1024.0,1.0
genetic_cfe,Budget-matched genetic CFE,128,0.0475,0.215,0.0,0.0435,0.0,0.028981889371210948,0.676013770180437,0.676013770180437,0.02166293018664687,0.29136780365802467,0.29136780365802467,0.7957692307692308,0.48374786324786323,0.9423442179852436,0.9423442179852436,0.9785596001221001,1.0,0.26219980561962497,0.006587349520000316,128.0,1.0
genetic_cfe,Budget-matched genetic CFE,256,0.09,0.28,0.005,0.0855,0.005,0.032702131618169095,0.6645518392542202,0.6645518392542202,0.02848601589600245,0.29986054035931037,0.29986054035931037,0.7860827664399093,0.48801587301587307,0.9494071275680471,0.9494071275680471,0.9843315719144801,1.0,0.27697131623114857,0.013057253990064056,256.0,2.0
genetic_cfe,Budget-matched genetic CFE,512,0.218,0.455,0.04,0.2045,0.02,0.0433370509313475,0.6448835655277405,0.6448835655277405,0.028081979349473332,0.33204042948778395,0.33204042948778395,0.6739500661375661,0.49683541617310273,0.9130841391156197,0.9130841391156197,0.9796274455736447,1.0,0.2687671171566147,0.026558518049982924,512.0,4.0
genetic_cfe,Budget-matched genetic CFE,1024,0.3975,0.605,0.21,0.365,0.105,0.05236202041240043,0.653931712207968,0.653931712207968,0.02871376204585601,0.33479821267316695,0.33479821267316695,0.6785577820359499,0.5078164297492208,0.9308846172248589,0.9308846172248589,0.9787753465830095,1.0,0.2728070278873148,0.0561179734749976,1024.0,8.0
proposed_countergan,CounterGAN + iterative black-box search,128,0.1565,0.7649999999999999,0.0,0.155,0.0,0.15540666069527656,0.3656999881612618,0.3656999881612618,0.024412330913577043,0.3874082978364757,0.3874082978364757,0.29744385706089665,0.5475630276206869,0.9441191273451348,0.9441191273451348,0.9963842414972186,1.0,0.8985281567456338,0.009184131350039024,128.0,1.0
proposed_countergan,CounterGAN + iterative black-box search,256,0.4385,0.815,0.055,0.43400000000000005,0.045,0.15707317669847493,0.341466494202936,0.341466494202936,0.039772676862889995,0.38423008268803116,0.38423008268803116,0.36645423304649494,0.5547141185534042,0.9241921639504899,0.9241921639504899,0.9965875798507038,1.0,0.7709884227848225,0.01835572299497471,256.0,2.0
proposed_countergan,CounterGAN + iterative black-box search,512,0.6915,0.84,0.505,0.6839999999999999,0.485,0.15721484057630974,0.3370927221547789,0.3370927221547789,0.04347784825412705,0.38297212809128334,0.38297212809128334,0.40553792774537456,0.5533172458172457,0.9241902030603424,0.9241902030603424,0.9955153300346651,1.0,0.7723475954816166,0.03331375545002174,471.68,3.685
proposed_countergan,CounterGAN + iterative black-box search,1024,0.7605,0.865,0.675,0.754,0.665,0.16002389009350515,0.33219837738686947,0.33219837738686947,0.0441784881967779,0.38734127034431654,0.38734127034431654,0.37758596809936096,0.5600564477685014,0.9251181487515736,0.9251181487515736,0.9956207327423664,1.0,0.7550822803382742,0.04795102453001164,675.2,5.275
