profile,query_number,direction,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
sparse,2,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06450365483760834,0.8,0.08842761814594269,0.3809629371794967,0.3809629371794967,1.0,0.8,0.8787878787878788,0.8787878787878788,81,1.0,0.8000903129577637,0.13846012949943542,1.0,1.0,1.0,1.0,0.9811111111111112,0.3279788820000249,0.3279788820000249,0.3279788820000249,0.03279788820000249,1024,3122.152236618461,8,1.0,1.0,1.0,128.0,128.0,0.02357767099965713,0.02357767099965713,1.0,1.0,1.0,128.0,128.0,0.02357767099965713,0.02357767099965713,1.0,1.0,1.0,128.0,128.0,0.02357767099965713,0.02357767099965713,1.0,1.0,1.0,128.0,128.0,0.02357767099965713,0.02357767099965713,0.8
sparse,3,disease_to_no_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10085219144821167,0.7000000000000001,0.08479616045951843,0.27282862139223624,0.27282862139223624,0.8,0.9000000000000001,0.9090909090909091,0.9090909090909091,81,1.0,0.3660421073436737,0.1056913435459137,1.0,1.0,1.0,1.0,0.9928571428571429,0.3343918259997736,0.3343918259997736,0.3343918259997736,0.03343918259997736,1024,3062.2758105357916,8,1.0,1.0,1.0,128.0,128.0,0.018522952999774134,0.018522952999774134,1.0,1.0,1.0,128.0,128.0,0.018522952999774134,0.018522952999774134,1.0,1.0,1.0,128.0,128.0,0.018522952999774134,0.018522952999774134,1.0,2.0,2.0,256.0,256.0,0.05653646599967033,0.05653646599967033,0.7000000000000001
sparse,4,no_disease_to_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05678234249353409,0.788888888888889,0.06797929108142853,0.3970602221646816,0.3970602221646816,1.0,0.26000000000000006,0.9696969696969697,0.9696969696969697,81,1.0,0.2551427483558655,0.10928106307983398,1.0,1.0,1.0,1.0,0.9788888888888888,0.26549735000025976,0.26549735000025976,0.26549735000025976,0.026549735000025977,1024,3856.912319460055,8,1.0,1.0,1.0,128.0,128.0,0.022025479000149062,0.022025479000149062,1.0,1.0,1.0,128.0,128.0,0.022025479000149062,0.022025479000149062,1.0,1.0,1.0,128.0,128.0,0.022025479000149062,0.022025479000149062,1.0,1.0,1.0,128.0,128.0,0.022025479000149062,0.022025479000149062,0.788888888888889
sparse,5,no_disease_to_disease,0.08,0.04,0.5,0.1,0.72,3.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.032828059047460556,0.8222222222222222,0.04297485575079918,0.4413090077152191,0.4413090077152191,1.0,0.16,0.8181818181818182,0.8181818181818182,81,1.0,0.2019137442111969,0.10535527765750885,1.0,1.0,1.0,1.0,0.9855555555555554,0.19136637400060863,0.19136637400060863,0.19136637400060863,0.019136637400060864,1024,5350.992332627587,8,1.0,2.0,2.0,256.0,256.0,0.028365825000037148,0.028365825000037148,1.0,2.0,2.0,256.0,256.0,0.028365825000037148,0.028365825000037148,1.0,3.0,3.0,384.0,384.0,0.05070074000013847,0.05070074000013847,1.0,4.0,4.0,512.0,512.0,0.07396039600007498,0.07396039600007498,0.8222222222222222
sparse,6,no_disease_to_disease,0.08,0.04,0.5,0.1,0.72,3.0,2,2,1.0,1.0,0.2,0.2,1.0,0.0,0.05391734838485718,0.8333333333333333,0.02087816782295704,0.30432737702033247,0.30432737702033247,0.0,0.1,0.7307692307692307,0.7307692307692307,65,1.0,0.25711748003959656,0.11867381632328033,1.0,1.0,0.2,0.0,1.0,0.1189783299996634,0.1189783299996634,,0.0594891649998317,1024,8606.609287614787,8,1.0,6.0,6.0,768.0,768.0,0.08841782499985129,0.08841782499985129,0.0,,8.0,,1024.0,,0.11894122099965898,0.0,,8.0,,1024.0,,0.11894122099965898,0.0,,8.0,,1024.0,,0.11894122099965898,0.8333333333333333
sparse,7,no_disease_to_disease,0.08,0.04,0.5,0.1,0.72,3.0,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.11531077325344086,0.38888888888888895,0.013282652013003826,0.3416057632271301,0.3416057632271301,1.0,0.5,1.0,1.0,65,1.0,0.154335156083107,0.10508029162883759,1.0,1.0,0.4,0.0,1.0,0.12858462199983478,0.12858462199983478,,0.032146155499958695,1024,7963.627252419934,8,1.0,5.0,5.0,640.0,640.0,0.07311018899963528,0.07311018899963528,1.0,6.0,6.0,768.0,768.0,0.09094723499947577,0.09094723499947577,0.0,,8.0,,1024.0,,0.12855324699921766,0.0,,8.0,,1024.0,,0.12855324699921766,0.38888888888888895
diverse,0,disease_to_no_disease,0.06,0.03,0.65,0.1,0.55,7.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.11379621922969818,0.6333333333333334,0.08381570130586624,0.23908333724859468,0.23908333724859468,0.1,0.8400000000000001,0.9393939393939394,0.9393939393939394,81,1.0,0.3035522401332855,0.12532958388328552,1.0,1.0,1.0,1.0,0.9976190476190476,0.26248602799932996,0.26248602799932996,0.26248602799932996,0.026248602799932998,1024,3901.1600267066938,8,1.0,1.0,1.0,128.0,128.0,0.018350693999309442,0.018350693999309442,1.0,1.0,1.0,128.0,128.0,0.018350693999309442,0.018350693999309442,1.0,1.0,1.0,128.0,128.0,0.018350693999309442,0.018350693999309442,1.0,2.0,2.0,256.0,256.0,0.05304532099944481,0.05304532099944481,0.6333333333333334
diverse,1,disease_to_no_disease,0.06,0.03,0.65,0.1,0.55,7.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07123689353466034,0.7777777777777778,0.07619549334049225,0.37650429545865055,0.37650429545865055,0.5,1.0,0.9393939393939394,0.9393939393939394,81,1.0,0.43396100401878357,0.11655744910240173,1.0,1.0,1.0,1.0,0.9752380952380951,0.25613086500015925,0.25613086500015925,0.25613086500015925,0.025613086500015925,1024,3997.956279105071,8,1.0,1.0,1.0,128.0,128.0,0.020845228000325733,0.020845228000325733,1.0,1.0,1.0,128.0,128.0,0.020845228000325733,0.020845228000325733,1.0,1.0,1.0,128.0,128.0,0.020845228000325733,0.020845228000325733,1.0,1.0,1.0,128.0,128.0,0.020845228000325733,0.020845228000325733,0.7777777777777778
diverse,2,disease_to_no_disease,0.06,0.03,0.65,0.1,0.55,7.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08870033919811249,0.7333333333333333,0.10632209479808807,0.3980497099350854,0.3980497099350854,0.8,0.8400000000000001,1.0,1.0,81,1.0,0.8451346158981323,0.13846012949943542,1.0,1.0,1.0,1.0,0.9788888888888889,0.29277894599999854,0.29277894599999854,0.29277894599999854,0.029277894599999854,1024,3497.519251264758,8,1.0,1.0,1.0,128.0,128.0,0.023026961000141455,0.023026961000141455,1.0,1.0,1.0,128.0,128.0,0.023026961000141455,0.023026961000141455,1.0,1.0,1.0,128.0,128.0,0.023026961000141455,0.023026961000141455,1.0,1.0,1.0,128.0,128.0,0.023026961000141455,0.023026961000141455,0.7333333333333333
diverse,3,disease_to_no_disease,0.06,0.03,0.65,0.1,0.55,7.0,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10182324796915054,0.688888888888889,0.09036164730787277,0.2845995566925535,0.2845995566925535,0.7,0.96,0.9393939393939394,0.9393939393939394,81,1.0,0.33190661668777466,0.1056913435459137,1.0,1.0,1.0,1.0,0.9885714285714287,0.25844510500064644,0.25844510500064644,0.25844510500064644,0.025844510500064644,1024,3962.156683127888,8,1.0,1.0,1.0,128.0,128.0,0.019637074999991455,0.019637074999991455,1.0,1.0,1.0,128.0,128.0,0.019637074999991455,0.019637074999991455,1.0,1.0,1.0,128.0,128.0,0.019637074999991455,0.019637074999991455,1.0,2.0,2.0,256.0,256.0,0.054283688999930746,0.054283688999930746,0.688888888888889
