method,epsilon,search_seed,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
proposed_dp_eps8_sparse_diverse,8,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08043477684259415,0.7666666666666666,0.09903381019830704,0.3760475050084566,0.3760475050084566,1.0,0.8400000000000001,0.8484848484848485,0.8484848484848485,81,1.0,0.6093948483467102,0.13846012949943542,1.0,1.0,1.0,1.0,0.9866666666666667,0.3452901460004796,0.3452901460004796,0.3452901460004796,0.03452901460004796,1024,2965.6218454568284,8,1.0,1.0,1.0,128.0,128.0,0.031280567000067094,0.031280567000067094,1.0,1.0,1.0,128.0,128.0,0.031280567000067094,0.031280567000067094,1.0,1.0,1.0,128.0,128.0,0.031280567000067094,0.031280567000067094,1.0,1.0,1.0,128.0,128.0,0.031280567000067094,0.031280567000067094,0.7666666666666666
proposed_dp_eps8_sparse_diverse,8,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0902254730463028,0.7111111111111112,0.08383261412382126,0.27587644419064566,0.27587644419064566,0.8,0.9400000000000001,0.8787878787878788,0.8787878787878788,81,1.0,0.30262985825538635,0.1056913435459137,1.0,1.0,1.0,1.0,0.9942857142857143,0.33898188799958007,0.33898188799958007,0.33898188799958007,0.033898188799958005,1024,3020.81036259161,8,1.0,1.0,1.0,128.0,128.0,0.020164001000011922,0.020164001000011922,1.0,1.0,1.0,128.0,128.0,0.020164001000011922,0.020164001000011922,1.0,1.0,1.0,128.0,128.0,0.020164001000011922,0.020164001000011922,1.0,2.0,2.0,256.0,256.0,0.06344766999973217,0.06344766999973217,0.7111111111111112
proposed_dp_eps8_sparse_diverse,8,11,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05406542494893074,0.8111111111111111,0.06593672186136246,0.4069229470294327,0.4069229470294327,1.0,0.22000000000000006,0.9696969696969697,0.9696969696969697,81,1.0,0.23450429737567902,0.10006517916917801,0.9333333333333332,0.9,0.9,0.0,0.9722222222222221,0.2838991750004425,0.2838991750004425,0.2838991750004425,0.02838991750004425,1024,3606.9143208972127,8,1.0,1.0,1.0,128.0,128.0,0.019319501000609307,0.019319501000609307,1.0,1.0,1.0,128.0,128.0,0.019319501000609307,0.019319501000609307,1.0,1.0,1.0,128.0,128.0,0.019319501000609307,0.019319501000609307,1.0,2.0,2.0,256.0,256.0,0.045813876000465825,0.045813876000465825,0.8111111111111111
proposed_dp_eps8_sparse_diverse,8,11,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05503944307565689,0.8111111111111111,0.06782147288322449,0.4439454078012,0.4439454078012,1.0,0.22000000000000003,0.8787878787878788,0.8787878787878788,81,1.0,0.314505398273468,0.12270966172218323,1.0,1.0,1.0,1.0,0.9733333333333334,0.32020750399988174,0.32020750399988174,0.32020750399988174,0.032020750399988175,1024,3197.9263046889064,8,1.0,1.0,1.0,128.0,128.0,0.01743228099985572,0.01743228099985572,1.0,1.0,1.0,128.0,128.0,0.01743228099985572,0.01743228099985572,1.0,1.0,1.0,128.0,128.0,0.01743228099985572,0.01743228099985572,1.0,2.0,2.0,256.0,256.0,0.04280131599989545,0.04280131599989545,0.8111111111111111
proposed_dp_eps8_sparse_diverse,8,11,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07482948899269104,0.7333333333333334,0.046667903661727905,0.32306637300717184,0.32306637300717184,0.0,0.06000000000000001,0.9393939393939394,0.9393939393939394,81,1.0,0.255256712436676,0.10205627977848053,0.9666666666666666,0.9,0.9,0.0,0.9966666666666667,0.1701668140003676,0.1701668140003676,0.1701668140003676,0.01701668140003676,1024,6017.624564551041,8,1.0,3.0,3.0,384.0,384.0,0.044920702000126767,0.044920702000126767,1.0,4.0,4.0,512.0,512.0,0.060506780000650906,0.060506780000650906,1.0,5.0,5.0,640.0,640.0,0.08335004000036861,0.08335004000036861,1.0,5.0,5.0,640.0,640.0,0.08335004000036861,0.08335004000036861,0.7333333333333334
proposed_dp_eps8_sparse_diverse,8,11,7,no_disease_to_disease,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.13627207279205322,0.3194444444444445,0.04140154644846916,0.35208421899105025,0.35208421899105025,1.0,0.4,0.8076923076923077,0.8076923076923077,65,1.0,0.15907280147075653,0.10024973750114441,0.9375,0.875,0.7,0.0,0.9981060606060606,0.179408314000284,0.179408314000284,,0.0224260392500355,1024,5707.650761370953,8,1.0,3.0,3.0,384.0,384.0,0.04639682500055642,0.04639682500055642,1.0,4.0,4.0,512.0,512.0,0.06629212200004986,0.06629212200004986,1.0,4.0,4.0,512.0,512.0,0.06629212200004986,0.06629212200004986,0.0,,8.0,,1024.0,,0.17937584399987827,0.3194444444444445
proposed_dp_eps4_sparse_diverse,4,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10940144956111908,0.6444444444444445,0.08654292672872543,0.24856797343796216,0.24856797343796216,0.1,0.8400000000000001,0.9393939393939394,0.9393939393939394,81,1.0,0.2905905842781067,0.11262944340705872,0.9833333333333334,0.9,0.9,0.0,0.9952380952380953,0.3169235409995963,0.3169235409995963,0.3169235409995963,0.03169235409995963,1024,3231.063229857401,8,1.0,1.0,1.0,128.0,128.0,0.01886566200028028,0.01886566200028028,1.0,1.0,1.0,128.0,128.0,0.01886566200028028,0.01886566200028028,1.0,1.0,1.0,128.0,128.0,0.01886566200028028,0.01886566200028028,1.0,2.0,2.0,256.0,256.0,0.05218852599955426,0.05218852599955426,0.6444444444444445
proposed_dp_eps4_sparse_diverse,4,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05888228490948677,0.8111111111111111,0.08288721740245819,0.3780647615976234,0.3780647615976234,0.6,1.0,0.8484848484848485,0.8484848484848485,81,1.0,0.2554508149623871,0.11429443955421448,1.0,1.0,1.0,1.0,0.9844444444444443,0.3231515759998729,0.3231515759998729,0.3231515759998729,0.032315157599987286,1024,3168.7916013765716,8,1.0,1.0,1.0,128.0,128.0,0.02445244799946522,0.02445244799946522,1.0,1.0,1.0,128.0,128.0,0.02445244799946522,0.02445244799946522,1.0,1.0,1.0,128.0,128.0,0.02445244799946522,0.02445244799946522,1.0,1.0,1.0,128.0,128.0,0.02445244799946522,0.02445244799946522,0.8111111111111111
proposed_dp_eps4_sparse_diverse,4,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07173912227153778,0.8,0.0884058028459549,0.38855795971377094,0.38855795971377094,1.0,0.82,0.8181818181818182,0.8181818181818182,81,1.0,0.8440799713134766,0.13846012949943542,1.0,1.0,1.0,1.0,0.9866666666666667,0.31608424699970783,0.31608424699970783,0.31608424699970783,0.031608424699970786,1024,3239.64262603997,8,1.0,1.0,1.0,128.0,128.0,0.023923710999952164,0.023923710999952164,1.0,1.0,1.0,128.0,128.0,0.023923710999952164,0.023923710999952164,1.0,1.0,1.0,128.0,128.0,0.023923710999952164,0.023923710999952164,1.0,1.0,1.0,128.0,128.0,0.023923710999952164,0.023923710999952164,0.8
proposed_dp_eps4_sparse_diverse,4,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09676120430231094,0.7000000000000001,0.08530986309051514,0.26846108576263134,0.26846108576263134,0.8,0.9200000000000002,0.9696969696969697,0.9696969696969697,81,1.0,0.3314616084098816,0.1056913435459137,0.9833333333333334,0.9,0.9,0.0,0.9942857142857143,0.3231872759997714,0.3231872759997714,0.3231872759997714,0.032318727599977136,1024,3168.4415694655145,8,1.0,1.0,1.0,128.0,128.0,0.01833449700006895,0.01833449700006895,1.0,1.0,1.0,128.0,128.0,0.01833449700006895,0.01833449700006895,1.0,1.0,1.0,128.0,128.0,0.01833449700006895,0.01833449700006895,1.0,2.0,2.0,256.0,256.0,0.051423265999801515,0.051423265999801515,0.7000000000000001
