round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,proposal_adapts_to_oracle,acceptance_denominator_kind,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,optimization_steps,gradient_restarts,final_unique_candidate_pool,backward_steps
7,64,448,64,53,347,0.059356148000006215,0.3736128450000251,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
8,64,512,64,58,404,0.06145096899854252,0.43506381399856764,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.12141613600033452,0.12141613600033452,True,final restart pool only,3,dice_gradient_style,11,8125804,15125804,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.10620934700091311,0.10620934700091311,True,final restart pool only,3,wachter_style,11,8125804,15125804,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,18,18,0.04472074099976453,0.04472074099976453,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
2,64,128,64,29,47,0.04674376199909602,0.09146450299886055,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
3,64,192,62,25,72,0.04685869300010381,0.13832319599896437,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
4,64,256,62,28,100,0.047970363000786165,0.18629355899975053,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
5,64,320,64,30,130,0.047499197000433924,0.23379275600018445,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
6,64,384,63,34,164,0.04967462999957206,0.2834673859997565,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
7,64,448,60,26,190,0.04760089099909237,0.3310682769988489,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
8,64,512,64,36,226,0.05023008900025161,0.3812983659991005,False,all independently sampled candidates,4,uniform_random,11,9125807,16125807,,512,disease_to_no_disease,,,,
1,64,64,64,18,18,0.04436658600025112,0.04436658600025112,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
2,64,128,64,42,55,0.04532810399905429,0.08969468999930541,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
3,64,192,64,56,103,0.04719478500010155,0.13688947499940696,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
4,64,256,64,57,155,0.05314529400129686,0.19003476900070382,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
5,64,320,64,58,209,0.05376669299948844,0.24380146200019226,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
6,64,384,64,59,265,0.055020514999341685,0.29882197699953394,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
7,64,448,64,60,323,0.0586748189998616,0.35749679599939554,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
8,64,512,64,55,372,0.05991999500110978,0.4174167910005053,True,all genetic population candidates,4,genetic_cfe,11,9125807,16125807,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.11764153399963106,0.11764153399963106,True,final restart pool only,4,dice_gradient_style,11,9125807,16125807,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.11212860500017996,0.11212860500017996,True,final restart pool only,4,wachter_style,11,9125807,16125807,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,30,30,0.04436205799902382,0.04436205799902382,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
2,64,128,64,33,63,0.04567015900101978,0.0900322170000436,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
3,64,192,64,31,94,0.04674616000011156,0.13677837700015516,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
4,64,256,64,29,123,0.04782274099852657,0.18460111799868173,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
5,64,320,64,42,165,0.048328187000151956,0.23292930499883369,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
6,64,384,64,31,196,0.05150575800143997,0.28443506300027366,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
7,64,448,64,37,233,0.05286490799880994,0.3372999709990836,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
8,64,512,64,34,267,0.05443081399971561,0.3917307849987992,False,all independently sampled candidates,5,uniform_random,11,10125810,17125810,,512,disease_to_no_disease,,,,
1,64,64,64,30,30,0.04508137800075929,0.04508137800075929,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
2,64,128,64,52,81,0.046206676999645424,0.09128805500040471,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
3,64,192,64,58,138,0.04972006500065618,0.1410081200010609,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
4,64,256,64,54,187,0.052220093999494566,0.19322821400055545,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
5,64,320,64,59,246,0.054377215999920736,0.2476054300004762,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
6,64,384,64,58,299,0.059370151999246445,0.30697558199972264,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
7,64,448,64,55,349,0.06011204700007511,0.36708762899979774,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
8,64,512,64,45,390,0.05631822000032116,0.4234058490001189,True,all genetic population candidates,5,genetic_cfe,11,10125810,17125810,,512,disease_to_no_disease,,,,
1,512,512,16,16,1,0.12233694700080378,0.12233694700080378,True,final restart pool only,5,dice_gradient_style,11,10125810,17125810,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.10345372099982342,0.10345372099982342,True,final restart pool only,5,wachter_style,11,10125810,17125810,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,28,28,0.04482014499990328,0.04482014499990328,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
2,64,128,64,29,57,0.045777109000482596,0.09059725400038587,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
3,64,192,64,36,93,0.04698268299944175,0.13757993699982762,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
4,64,256,64,31,124,0.047362658000565716,0.18494259500039334,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
5,64,320,64,30,154,0.04761687599966535,0.2325594710000587,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
6,64,384,64,34,188,0.050242368000908755,0.28280183900096745,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
7,64,448,64,30,218,0.05040141199970094,0.3332032510006684,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
8,64,512,63,33,251,0.05318309299946122,0.3863863440001296,False,all independently sampled candidates,6,uniform_random,11,11125813,18125813,,512,disease_to_no_disease,,,,
1,64,64,64,28,28,0.04377596099948278,0.04377596099948278,True,all genetic population candidates,6,genetic_cfe,11,11125813,18125813,,512,disease_to_no_disease,,,,
