dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
heartplus,dp_eps16,multi_draw_reconstruction,404,1000,1000,16,0.49742,-1,0.1431276202201843,0.4919049999999999,0.496,0.496,0.748,0.756,-0.008,0.001,0.013,0.06
heartplus,dp_eps16,multi_draw_mean_objective,404,1000,1000,16,0.498261,-1,0.4186576306819916,0.493408,0.492,0.492,0.719,0.735,-0.016,0.002,0.016,0.063
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5118875,1,0.0162694767875459,0.507626,0.5135,0.5135000000000001,0.532,0.505,0.027,0.002,0.007,0.048
heartplus,dp_eps16,released_discriminator_score,404,1000,1000,0,0.5151574999999999,1,1.6893876791000366,0.492985,0.5035,0.5035000000000001,0.614,0.607,0.007,0.003,0.014,0.043
heartplus,dp_eps8,single_draw_loss_threshold,404,1000,1000,16,0.485551,-1,0.2938217520713806,0.493777,0.4935,0.4935,0.74,0.753,-0.013,0.0,0.015,0.061
heartplus,dp_eps8,multi_draw_reconstruction,404,1000,1000,16,0.492335,-1,0.1202563196420669,0.4982999999999999,0.498,0.498,0.75,0.754,-0.004,0.005,0.017,0.063
heartplus,dp_eps8,multi_draw_mean_objective,404,1000,1000,16,0.490065,-1,0.3793684840202331,0.490411,0.4945,0.4945,0.735,0.746,-0.011,0.001,0.014,0.067
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.51392,1,5.6860969288807794e-05,0.48438,0.4935,0.4935,0.589,0.602,-0.013,0.004,0.017,0.052
heartplus,dp_eps8,released_discriminator_score,404,1000,1000,0,0.5088645,1,0.0079462677240371,0.496616,0.5025,0.5025,0.77,0.765,0.005,0.001,0.014,0.04
heartplus,dp_eps4,single_draw_loss_threshold,404,1000,1000,16,0.491536,-1,0.4352898597717285,0.495895,0.4935,0.4935,0.669,0.682,-0.013,0.001,0.005,0.06
heartplus,dp_eps4,multi_draw_reconstruction,404,1000,1000,16,0.497198,-1,0.1071090400218963,0.499586,0.5085,0.5085,0.782,0.765,0.017,0.003,0.015,0.06
heartplus,dp_eps4,multi_draw_mean_objective,404,1000,1000,16,0.4959599999999999,-1,0.2726738452911377,0.49583,0.5005,0.5005,0.757,0.756,0.001,0.004,0.01,0.059
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5191574999999999,1,0.0314007181851391,0.5011125000000001,0.4895,0.4895,0.445,0.466,-0.021,0.0,0.008,0.045
heartplus,dp_eps4,released_discriminator_score,404,1000,1000,0,0.5137115,1,2.2792623043060303,0.49476,0.5025,0.5025,0.567,0.562,0.0049999999999998,0.002,0.004,0.038
heartplus,dp_eps2,single_draw_loss_threshold,404,1000,1000,16,0.4949269999999999,-1,0.1434170305728912,0.488021,0.4945,0.4945,0.784,0.795,-0.011,0.007,0.019,0.049
heartplus,dp_eps2,multi_draw_reconstruction,404,1000,1000,16,0.5037929999999999,1,-1.0627045631408691,0.5124839999999999,0.508,0.508,0.831,0.815,0.016,0.001,0.007,0.061
heartplus,dp_eps2,multi_draw_mean_objective,404,1000,1000,16,0.499289,-1,0.168893426656723,0.4888149999999999,0.494,0.494,0.805,0.817,-0.0119999999999999,0.003,0.016,0.047
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5142464999999999,1,0.0356989121008136,0.519566,0.5135,0.5135000000000001,0.229,0.202,0.0269999999999999,0.003,0.008,0.042
heartplus,dp_eps2,released_discriminator_score,404,1000,1000,0,0.5124215,1,1.9918739795684812,0.493241,0.5005,0.5005,0.601,0.6,0.001,0.0,0.009,0.043
heartplus,countergan,single_draw_loss_threshold,505,1000,1000,16,0.4964059999999999,-1,0.1531289517879486,0.5019750000000001,0.4975,0.4975,0.524,0.529,-0.005,0.0,0.005,0.043
heartplus,countergan,multi_draw_reconstruction,505,1000,1000,16,0.49271,-1,0.1009024530649185,0.499992,0.491,0.491,0.686,0.704,-0.0179999999999999,0.0,0.005,0.044
heartplus,countergan,multi_draw_mean_objective,505,1000,1000,16,0.494753,-1,0.1376951038837433,0.499037,0.494,0.494,0.618,0.63,-0.012,0.0,0.005,0.044
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.510158,1,-0.0007473276424817,0.5048325,0.495,0.495,0.646,0.656,-0.01,0.001,0.008,0.04
heartplus,countergan,released_discriminator_score,505,1000,1000,0,0.5125795,1,4.698865413665772,0.5003070000000001,0.5095,0.5095000000000001,0.26,0.241,0.019,0.002,0.013,0.066
heartplus,dp_eps16,single_draw_loss_threshold,505,1000,1000,16,0.495531,-1,0.7607648968696594,0.487121,0.4755,0.4755,0.559,0.608,-0.0489999999999999,0.0,0.003,0.046
heartplus,dp_eps16,multi_draw_reconstruction,505,1000,1000,16,0.490658,-1,0.6946861743927002,0.4884519999999999,0.4815,0.4815,0.488,0.525,-0.037,0.0,0.014,0.046
heartplus,dp_eps16,multi_draw_mean_objective,505,1000,1000,16,0.494974,-1,0.11472849547863,0.483763,0.502,0.502,0.885,0.881,0.004,0.0,0.013,0.049
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.509341,1,-0.0122464274488716,0.4884515,0.4815,0.4815,0.488,0.525,-0.037,0.0,0.014,0.046
heartplus,dp_eps16,released_discriminator_score,505,1000,1000,0,0.5228105,1,3.739471435546875,0.499726,0.503,0.503,0.415,0.409,0.006,0.0,0.007,0.05
heartplus,dp_eps8,single_draw_loss_threshold,505,1000,1000,16,0.500718,1,-0.5231895446777344,0.510406,0.509,0.509,0.354,0.336,0.0179999999999999,0.002,0.013,0.051
heartplus,dp_eps8,multi_draw_reconstruction,505,1000,1000,16,0.50393,1,-0.4520059823989868,0.506629,0.516,0.516,0.483,0.451,0.0319999999999999,0.003,0.008,0.053
heartplus,dp_eps8,multi_draw_mean_objective,505,1000,1000,16,0.499136,-1,2.7691869735717773,0.488907,0.5025,0.5025,0.034,0.029,0.005,0.0,0.008,0.054
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.5138975,1,-0.0139695893987162,0.5181129999999999,0.5245,0.5245,0.655,0.606,0.049,0.001,0.012,0.059
heartplus,dp_eps8,released_discriminator_score,505,1000,1000,0,0.5173745000000001,1,5.177314758300781,0.5039349999999999,0.504,0.504,0.325,0.317,0.008,0.0,0.01,0.048
heartplus,dp_eps4,single_draw_loss_threshold,505,1000,1000,16,0.498073,-1,2.199798107147217,0.4879465,0.4885,0.4885,0.157,0.18,-0.0229999999999999,0.002,0.014,0.049
heartplus,dp_eps4,multi_draw_reconstruction,505,1000,1000,16,0.493385,-1,1.6927837133407593,0.493967,0.503,0.503,0.19,0.184,0.006,0.0,0.016,0.048
heartplus,dp_eps4,multi_draw_mean_objective,505,1000,1000,16,0.49729,-1,2.211220979690552,0.490288,0.4955,0.4955,0.163,0.172,-0.0089999999999999,0.0,0.016,0.05
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.5066125,1,0.012541280320988,0.4939684999999999,0.503,0.503,0.19,0.184,0.006,0.0,0.016,0.048
