method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
dice_gradient_style,no_disease_to_disease,1024,100,0.13076029511001253,1.0,1024.0,621,102400,0.006064453125,0.005607105444799711,0.006558858654522481
genetic_cfe,disease_to_no_disease,128,100,0.00666481000004751,1.0,128.0,365,12800,0.028515625,0.025770661995903683,0.03154350119339006
genetic_cfe,disease_to_no_disease,256,100,0.013260272960033036,2.0,256.0,1474,25600,0.057578125,0.05479043462818136,0.060498572436177143
genetic_cfe,disease_to_no_disease,512,100,0.027287967629990816,3.96,506.88,7260,51200,0.141796875,0.13880211085922423,0.14484538598925145
genetic_cfe,disease_to_no_disease,1024,100,0.05896970499999952,7.37,943.36,31263,102400,0.305302734375,0.302489353182514,0.30813072286185594
genetic_cfe,no_disease_to_disease,128,100,0.006509889039953123,1.0,128.0,161,12800,0.012578125,0.010788476466340013,0.014660249985690422
genetic_cfe,no_disease_to_disease,256,100,0.012854235020095075,2.0,256.0,593,25600,0.0231640625,0.02139168959500085,0.025079519060713807
genetic_cfe,no_disease_to_disease,512,100,0.025829068469975028,4.0,512.0,2750,51200,0.0537109375,0.051791411815037755,0.05569742695201081
genetic_cfe,no_disease_to_disease,1024,100,0.05326624194999567,7.79,997.12,12215,102400,0.119287109375,0.11731614129853604,0.12128664069422926
proposed_countergan,disease_to_no_disease,128,100,0.009330591030075084,1.0,128.0,10606,12800,0.82859375,0.8219666908385022,0.8350236371856621
proposed_countergan,disease_to_no_disease,256,100,0.019143601899986606,2.0,256.0,21186,25600,0.827578125,0.8229017510219133,0.8321562029563924
proposed_countergan,disease_to_no_disease,512,100,0.03493608664003659,3.71,474.88,39078,47488,0.822902628032345,0.8194430539030562,0.82630996509899
proposed_countergan,disease_to_no_disease,1024,100,0.04686497996000071,4.75,608.0,46198,60800,0.7598355263157894,0.7564236252865588,0.7632145956208873
proposed_countergan,no_disease_to_disease,128,100,0.009037671670002965,1.0,128.0,8157,12800,0.637265625,0.6288964967904684,0.6455523872652749
proposed_countergan,no_disease_to_disease,256,100,0.017567844089962818,2.0,256.0,16055,25600,0.6271484375,0.6212062353487632,0.6330524863540016
proposed_countergan,no_disease_to_disease,512,100,0.0316914242600069,3.66,468.48,27821,46848,0.5938567281420765,0.5894020454600792,0.5982960198919363
proposed_countergan,no_disease_to_disease,1024,100,0.04903706910002256,5.8,742.4,37692,74240,0.5077047413793103,0.5041082050315697,0.5113004804232975
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,100,0.01942211688999123,1.0,128.0,10653,12800,0.832265625,0.8256934459994091,0.8386384287240266
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,100,0.049567213670025013,1.77,226.56,20915,25600,0.8169921875,0.812208087982,0.8216811675073812
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,100,0.12283612761993026,2.26,289.28,40581,51200,0.79259765625,0.7890638339768393,0.7960875754949702
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1024,100,0.27467458745996737,2.7,345.6,79644,102400,0.7777734375,0.7752166671781866,0.780309367681318
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,100,0.015434954510001262,1.0,128.0,1102,12800,0.08609375,0.08135770660458247,0.09107815695413804
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,100,0.03318412170006923,1.97,252.16,2804,25600,0.10953125,0.10576401131266047,0.11341565623239758
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,100,0.07883488776997183,3.53,451.84,7959,51200,0.15544921875,0.15233659270517894,0.15861354316744705
