method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,0.49,1.7,0.02750331400000505,217.6,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,0.59,2.64,0.041949956950047634,337.92,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,1024,0.64,4.17,0.06388025077998463,533.76,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,0.8,1.0,0.02043723694999244,128.0,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,0.87,1.2,0.024325152640012674,153.6,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,0.89,1.48,0.02833654361002118,189.44,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,1024,0.93,1.83,0.03363497092002035,234.24,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,0.2,1.0,0.01585592161997738,128.0,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,0.33,1.82,0.028492463279990263,232.96,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,0.46,3.08,0.046358153310020495,394.24,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,1024,0.58,4.99,0.07488072720999299,638.72,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.82,1.0,0.019472029360040322,128.0,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,0.85,1.18,0.02242325741998684,151.04,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,0.9,1.45,0.027216361630016762,185.6,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,1024,0.93,1.78,0.03193275262000497,227.84,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.19,1.0,0.014963851690044976,128.0,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.35,1.78,0.027401819120104847,227.84,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.55,2.98,0.045217039889948865,381.44,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,1024,0.64,4.64,0.0691020244799256,593.92,3
uniform_random,disease_to_no_disease,128,0.08,1.0,0.006292620679960237,128.0,3
uniform_random,disease_to_no_disease,256,0.28,1.94,0.012165400290068646,248.32,3
uniform_random,disease_to_no_disease,512,0.48,3.2,0.019827857750033217,409.6,3
uniform_random,disease_to_no_disease,1024,0.74,4.79,0.03245692085002702,613.12,3
uniform_random,no_disease_to_disease,128,0.08,1.0,0.006248061910018805,128.0,3
uniform_random,no_disease_to_disease,256,0.13,1.94,0.011895412550029506,248.32,3
uniform_random,no_disease_to_disease,512,0.15,3.68,0.02231572708003114,471.04,3
uniform_random,no_disease_to_disease,1024,0.29,6.87,0.04158954619002543,879.36,3
wachter_style,disease_to_no_disease,128,0.0,1.0,0.018235655530043006,128.0,3
wachter_style,disease_to_no_disease,256,0.0,1.0,0.03207740046998879,256.0,3
wachter_style,disease_to_no_disease,512,0.53,1.0,0.05892738213001394,512.0,3
wachter_style,disease_to_no_disease,1024,0.61,1.0,0.11198890419994313,1024.0,3
wachter_style,no_disease_to_disease,128,0.0,1.0,0.018130655739978466,128.0,3
wachter_style,no_disease_to_disease,256,0.0,1.0,0.03197771059000843,256.0,3
wachter_style,no_disease_to_disease,512,0.15,1.0,0.05937379686002714,512.0,3
wachter_style,no_disease_to_disease,1024,0.26,1.0,0.11286822125000981,1024.0,3
countergan_one_shot,disease_to_no_disease,128,0.01,1.0,0.009377128140022251,128.0,5
countergan_one_shot,disease_to_no_disease,256,0.02,1.0,0.012369195290002608,256.0,5
countergan_one_shot,disease_to_no_disease,512,0.02,1.0,0.018082244890074435,512.0,5
countergan_one_shot,disease_to_no_disease,1024,0.02,1.0,0.02965116667000075,1024.0,5
countergan_one_shot,no_disease_to_disease,128,0.08,1.0,0.00887359078998088,128.0,5
