query_id,local_test_index,query_class,desired_class,direction,difficulty_stratum,baseline_seed,run_seed,method,implementation,K,margin,native_random_sample_size,native_genetic_maxiterations,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
169,1400,0,1,no_disease_to_disease,high_confidence,11,9271159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.2950856387615204,0.07407407407407411,0.1883476972579956,1.3575280086501145,1.3575280086501145,0.0,1.0,,,0,1.0,26.33582878112793,12.117500305175781,1.0,1.0,0.3,0.0,0.9923801305101708,4.182467516000088,4.182467516000088,,1.394155838666696,,0.0,0,0.0,,0.0,,0.0,,4.182467516000088,0.0,,0.0,,0.0,,4.182467516000088,0.0,,0.0,,0.0,,4.182467516000088,0.0,,0.0,,0.0,,4.182467516000088,ok,,300
170,1478,0,1,no_disease_to_disease,high_confidence,11,9272065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.002765454999917,20.002765454999917,,,,0.0,0,0.0,,0.0,,0.0,,20.002765454999917,0.0,,0.0,,0.0,,20.002765454999917,0.0,,0.0,,0.0,,20.002765454999917,0.0,,0.0,,0.0,,20.002765454999917,timeout,,1
170,1478,0,1,no_disease_to_disease,high_confidence,11,9272159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.2496616691350937,0.06250000000000001,0.26842623949050903,1.2352219731108016,1.2352219731108016,0.0,0.925,,,0,1.0,16.34418487548828,2.609076976776123,1.0,1.0,0.8,0.0,0.9841204563903818,3.9664895659998365,3.9664895659998365,,0.49581119574997956,,0.0,0,0.0,,0.0,,0.0,,3.9664895659998365,0.0,,0.0,,0.0,,3.9664895659998365,0.0,,0.0,,0.0,,3.9664895659998365,0.0,,0.0,,0.0,,3.9664895659998365,ok,,300
171,2560,0,1,no_disease_to_disease,high_confidence,11,9273065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.05875445902347565,0.7222222222222223,0.06588294357061386,0.7373380782481742,0.7373380782481742,0.5,0.4,,,0,1.0,8.500301361083984,1.1631340980529785,0.984375,0.75,0.3,0.0,0.9455568736818737,2.3044052269997337,2.3044052269997337,,0.5761013067499334,,0.0,0,0.0,,0.0,,0.0,,2.3044052269997337,0.0,,0.0,,0.0,,2.3044052269997337,0.0,,0.0,,0.0,,2.3044052269997337,0.0,,0.0,,0.0,,2.3044052269997337,ok,,1
171,2560,0,1,no_disease_to_disease,high_confidence,11,9273159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.37767621874809265,0.06250000000000003,0.147259920835495,1.643958232209246,1.643958232209246,0.0,0.875,,,0,1.0,20.446990966796875,4.170629024505615,1.0,1.0,0.8,0.0,0.9915249444948434,4.100975043999824,4.100975043999824,,0.512621880499978,,0.0,0,0.0,,0.0,,0.0,,4.100975043999824,0.0,,0.0,,0.0,,4.100975043999824,0.0,,0.0,,0.0,,4.100975043999824,0.0,,0.0,,0.0,,4.100975043999824,ok,,300
172,4715,0,1,no_disease_to_disease,high_confidence,11,9274065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,6,6,1.0,1.0,0.6,0.6,1.0,0.0,0.04004373028874397,0.8796296296296294,0.07200147956609726,0.6836058752753723,0.6836058752753723,0.0,0.7000000000000001,,,0,1.0,3.961622953414917,0.7832674980163574,0.9270833333333334,0.5,0.3,0.0,0.8845899470899471,2.3088334959998065,2.3088334959998065,,0.3848055826666344,,0.0,0,0.0,,0.0,,0.0,,2.3088334959998065,0.0,,0.0,,0.0,,2.3088334959998065,0.0,,0.0,,0.0,,2.3088334959998065,0.0,,0.0,,0.0,,2.3088334959998065,ok,,1
172,4715,0,1,no_disease_to_disease,high_confidence,11,9274159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,6,6,1.0,1.0,0.6,0.6,1.0,0.0,0.3737827241420746,0.1203703703703704,0.25356143712997437,1.7890967135410676,1.7890967135410676,0.0,0.9333333333333332,,,0,1.0,14.604371070861816,5.407092571258545,1.0,1.0,0.6,0.0,0.9873463381280226,4.1215221359998395,4.1215221359998395,,0.6869203559999733,,0.0,0,0.0,,0.0,,0.0,,4.1215221359998395,0.0,,0.0,,0.0,,4.1215221359998395,0.0,,0.0,,0.0,,4.1215221359998395,0.0,,0.0,,0.0,,4.1215221359998395,ok,,300
173,10278,0,1,no_disease_to_disease,high_confidence,11,9275065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.03186894208192825,0.861111111111111,0.05605889484286308,0.5266972276927966,0.5266972276927966,0.0,1.0,,,0,1.0,5.683565616607666,1.6728529930114746,0.984375,0.75,0.3,0.0,0.815406295093795,2.327944928999841,2.327944928999841,,0.5819862322499603,,0.0,0,0.0,,0.0,,0.0,,2.327944928999841,0.0,,0.0,,0.0,,2.327944928999841,0.0,,0.0,,0.0,,2.327944928999841,0.0,,0.0,,0.0,,2.327944928999841,ok,,1
173,10278,0,1,no_disease_to_disease,high_confidence,11,9275159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.36718234419822693,0.0777777777777778,0.17255252599716187,1.617403577248697,1.617403577248697,0.0,1.0,,,0,1.0,13.184652328491211,0.281430721282959,0.8625,0.8,0.4,0.0,0.998124912721687,3.925495628000135,3.925495628000135,,0.785099125600027,,0.0,0,0.0,,0.0,,0.0,,3.925495628000135,0.0,,0.0,,0.0,,3.925495628000135,0.0,,0.0,,0.0,,3.925495628000135,0.0,,0.0,,0.0,,3.925495628000135,ok,,300
174,10279,0,1,no_disease_to_disease,high_confidence,11,9276065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.030439848080277443,0.8888888888888888,0.05945717915892601,0.6087982492475231,0.6087982492475231,0.0,0.8500000000000001,,,0,1.0,4.14320707321167,0.3682990074157715,0.890625,0.5,0.2,0.0,0.8431051587301587,2.3066855150000265,2.3066855150000265,,0.5766713787500066,,0.0,0,0.0,,0.0,,0.0,,2.3066855150000265,0.0,,0.0,,0.0,,2.3066855150000265,0.0,,0.0,,0.0,,2.3066855150000265,0.0,,0.0,,0.0,,2.3066855150000265,ok,,1
174,10279,0,1,no_disease_to_disease,high_confidence,11,9276159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.3933504521846771,0.11111111111111116,0.0,1.791145903002851,1.791145903002851,0.0,0.4,,,0,1.0,4.167718410491943,4.167718410491943,1.0,1.0,0.1,0.0,0.9981060606060606,3.7842699660000108,3.7842699660000108,,3.7842699660000108,,0.0,0,0.0,,0.0,,0.0,,3.7842699660000108,0.0,,0.0,,0.0,,3.7842699660000108,0.0,,0.0,,0.0,,3.7842699660000108,0.0,,0.0,,0.0,,3.7842699660000108,ok,,300
175,10290,0,1,no_disease_to_disease,high_confidence,11,9277065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.04416388273239136,0.8611111111111112,0.07457419484853745,0.6647688904500116,0.6647688904500116,0.0,1.0,,,0,1.0,7.283039569854736,0.7661662101745605,0.96875,0.75,0.3,0.0,0.8250744047619047,2.3130602719998024,2.3130602719998024,,0.5782650679999506,,0.0,0,0.0,,0.0,,0.0,,2.3130602719998024,0.0,,0.0,,0.0,,2.3130602719998024,0.0,,0.0,,0.0,,2.3130602719998024,0.0,,0.0,,0.0,,2.3130602719998024,ok,,1
175,10290,0,1,no_disease_to_disease,high_confidence,11,9277159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,6,6,1.0,1.0,0.6,0.6,1.0,0.0,0.3627796471118927,0.12037037037037039,0.16589802503585815,1.5708635963043385,1.5708635963043385,0.0,0.9,,,0,1.0,10.646014213562012,6.99628210067749,1.0,1.0,0.6,0.0,0.9851785181041187,3.8784356109999862,3.8784356109999862,,0.6464059351666643,,0.0,0,0.0,,0.0,,0.0,,3.8784356109999862,0.0,,0.0,,0.0,,3.8784356109999862,0.0,,0.0,,0.0,,3.8784356109999862,0.0,,0.0,,0.0,,3.8784356109999862,ok,,300
176,10292,0,1,no_disease_to_disease,high_confidence,11,9278065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.035013243556022644,0.875,0.058816730976104736,0.6003745976858977,0.6003745976858977,0.0,0.8,,,0,1.0,5.946293354034424,0.28578615188598633,0.953125,0.75,0.3,0.0,0.8380208333333333,2.319419912000285,2.319419912000285,,0.5798549780000712,,0.0,0,0.0,,0.0,,0.0,,2.319419912000285,0.0,,0.0,,0.0,,2.319419912000285,0.0,,0.0,,0.0,,2.319419912000285,0.0,,0.0,,0.0,,2.319419912000285,ok,,1
176,10292,0,1,no_disease_to_disease,high_confidence,11,9278159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,2,2,1.0,1.0,0.2,0.2,1.0,0.0,0.3802730143070221,0.1111111111111111,0.28242167830467224,1.6562717403003124,1.6562717403003124,0.0,1.0,,,0,1.0,13.933985710144043,5.050229549407959,1.0,1.0,0.2,0.0,0.9914511494252873,4.27158646099997,4.27158646099997,,2.135793230499985,,0.0,0,0.0,,0.0,,0.0,,4.27158646099997,0.0,,0.0,,0.0,,4.27158646099997,0.0,,0.0,,0.0,,4.27158646099997,0.0,,0.0,,0.0,,4.27158646099997,ok,,300
177,10304,0,1,no_disease_to_disease,high_confidence,11,9279065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.05443870276212692,0.875,0.1004958525300026,0.5846650995787185,0.5846650995787185,0.0,1.0,,,0,1.0,8.822646141052246,2.37593412399292,1.0,1.0,0.4,0.0,0.8246324855699856,2.299289910000425,2.299289910000425,,0.5748224775001063,,0.0,0,0.0,,0.0,,0.0,,2.299289910000425,0.0,,0.0,,0.0,,2.299289910000425,0.0,,0.0,,0.0,,2.299289910000425,0.0,,0.0,,0.0,,2.299289910000425,ok,,1
