method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
countergan_sparse_diverse_no_dp,11,128,disease_to_no_disease,0.9890000000000001,1.0,0.95,0.8190000000000001,0.21,0.0733127224445343,0.6747738095238095,0.06051495462656021,0.5457931239701395,0.47700911303003524,128.0
countergan_sparse_diverse_no_dp,11,128,no_disease_to_disease,1.0,1.0,1.0,0.733,0.1,0.08178583465516567,0.6519444444444444,0.055632430985569956,0.531542474392777,0.49111410578996584,128.0
countergan_sparse_diverse_no_dp,11,256,disease_to_no_disease,1.0,1.0,1.0,0.8079999999999999,0.13,0.0715118720754981,0.7386111111111111,0.06461702987551689,0.5948255824212709,0.9721417349100284,256.0
countergan_sparse_diverse_no_dp,11,256,no_disease_to_disease,1.0,1.0,1.0,0.762,0.14,0.08220532715320587,0.6928333333333333,0.06793895941227675,0.5808075637942354,0.994951004319828,256.0
countergan_sparse_diverse_no_dp,11,512,disease_to_no_disease,1.0,1.0,1.0,0.8240000000000001,0.2,0.06454656515270471,0.7979999999999999,0.062409123852849004,0.6188171091007514,1.9928614254098465,512.0
countergan_sparse_diverse_no_dp,11,512,no_disease_to_disease,1.0,1.0,1.0,0.8079999999999999,0.18,0.07624717365950345,0.7490555555555557,0.07548309005796909,0.6336385071241889,2.0232753298600255,512.0
dice_gradient_style,11,64,disease_to_no_disease,0.03,0.3,0.0,0.015,0.0,0.02079949580753843,0.85,0.0,0.3604802949169159,0.05035570695001297,64.0
dice_gradient_style,11,64,no_disease_to_disease,0.031,0.31,0.0,0.007000000000000001,0.0,0.022469923741394473,0.8207885304659498,0.0,0.42455642103954133,0.05039886246995593,64.0
dice_gradient_style,11,128,disease_to_no_disease,0.062,0.62,0.0,0.047,0.0,0.035411710640595805,0.043010752688172046,0.0,0.4123610683243194,0.058735134980033764,128.0
dice_gradient_style,11,128,no_disease_to_disease,0.09,0.9,0.0,0.062,0.0,0.03868652830521266,0.06111111111111113,0.0,0.43133427916612777,0.059741111220018864,128.0
dice_gradient_style,11,256,disease_to_no_disease,0.10300000000000001,0.98,0.0,0.10200000000000001,0.0,0.06064748537859747,0.03287981859410431,0.0014722908904053727,0.4882586085165746,0.07726250462994358,256.0
dice_gradient_style,11,256,no_disease_to_disease,0.1,1.0,0.0,0.1,0.0,0.0577537839114666,0.04333333333333335,0.0,0.48595485287177786,0.07633411901002546,256.0
dice_gradient_style,11,512,disease_to_no_disease,0.10400000000000001,1.0,0.0,0.10300000000000001,0.0,0.07607611384242773,0.04166666666666667,0.0013790101557970046,0.5371280239201323,0.11040700701004426,512.0
dice_gradient_style,11,512,no_disease_to_disease,0.1,1.0,0.0,0.1,0.0,0.06894022230058909,0.0538888888888889,0.0,0.524478134900616,0.1093684973499785,512.0
genetic_cfe,11,64,disease_to_no_disease,0.861,0.98,0.69,0.754,0.19,0.0856485727946369,0.1695843681387899,0.10510820340441197,0.6376210771175418,0.04495756600003006,64.0
genetic_cfe,11,64,no_disease_to_disease,0.929,1.0,0.82,0.75,0.13,0.08967737965285778,0.15262103174603175,0.10784089758992195,0.6198059193998031,0.04503489113996693,64.0
genetic_cfe,11,128,disease_to_no_disease,0.99,0.99,0.99,0.8490000000000001,0.19,0.08110163718311474,0.23793490460157124,0.09685956227658975,0.6254488586526743,0.09036947403002159,128.0
genetic_cfe,11,128,no_disease_to_disease,0.997,1.0,0.99,0.802,0.16,0.08332285650074482,0.2305952380952381,0.09837554253637791,0.6084051786383515,0.09024029994004196,128.0
genetic_cfe,11,256,disease_to_no_disease,1.0,1.0,1.0,0.9010000000000001,0.33,0.07760493833571673,0.31594444444444447,0.08742621067911387,0.6287012192961569,0.18762622529995496,256.0
genetic_cfe,11,256,no_disease_to_disease,1.0,1.0,1.0,0.8640000000000001,0.26,0.08026095971465111,0.30238888888888893,0.08979019738733768,0.6117734975732533,0.18425289246006288,256.0
genetic_cfe,11,512,disease_to_no_disease,1.0,1.0,1.0,0.9059999999999999,0.47,0.07250223953276873,0.42583333333333334,0.07902999360114336,0.6344468893307407,0.4118345379699804,512.0
genetic_cfe,11,512,no_disease_to_disease,1.0,1.0,1.0,0.8960000000000001,0.34,0.0764991581812501,0.4037777777777778,0.08223127640783787,0.6267180011960573,0.40583736789006253,512.0
proposed_countergan,11,64,disease_to_no_disease,0.805,1.0,0.52,0.731,0.38,0.10048964254558086,0.1680132275132275,0.031113794315606357,0.4388814696550894,0.04581145567996828,64.0
proposed_countergan,11,64,no_disease_to_disease,0.975,1.0,0.88,0.973,0.86,0.11762344293296337,0.16366115520282187,0.038090627137571574,0.4458934624521895,0.04520983063996027,64.0
proposed_countergan,11,128,disease_to_no_disease,1.0,1.0,1.0,0.9209999999999999,0.68,0.10294243175536394,0.1773888888888889,0.04888049207627773,0.465890080785657,0.06707987482988756,94.72
proposed_countergan,11,128,no_disease_to_disease,1.0,1.0,1.0,0.9940000000000001,0.94,0.1182388549298048,0.16255555555555556,0.041380947064608334,0.4497612371977805,0.051238400109868965,72.96
proposed_countergan,11,256,disease_to_no_disease,1.0,1.0,1.0,0.924,0.64,0.10284597989171744,0.17944444444444446,0.048052533585578205,0.46607154924962685,0.06520190122007989,92.8
proposed_countergan,11,256,no_disease_to_disease,1.0,1.0,1.0,0.996,0.96,0.11849971897900105,0.16311111111111112,0.041808060649782416,0.4515378474306208,0.05224027822992866,74.24
proposed_countergan,11,512,disease_to_no_disease,1.0,1.0,1.0,0.929,0.62,0.10396807871758938,0.17622222222222222,0.04864640448242426,0.46748367813210906,0.06480872668996199,92.16
proposed_countergan,11,512,no_disease_to_disease,1.0,1.0,1.0,0.993,0.94,0.11806874327361584,0.16627777777777777,0.04065207954496145,0.4491986397311599,0.050932983540042186,72.32
proposed_dp_eps16_sparse_diverse,11,64,disease_to_no_disease,0.757,0.92,0.57,0.64,0.31,0.08361011462124146,0.5655912123303428,0.041452705637430365,0.49228441983370963,0.23248417821997464,64.0
