method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_countergan,no_disease_to_disease,256,1.0,1.0,0.04516649779990985,64.0,3
proposed_countergan,no_disease_to_disease,512,1.0,1.0,0.045181260920071506,64.0,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.88,1.0,0.23244750914000178,64.0,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,1.0,1.13,0.26760133238008166,72.32,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,1.0,1.13,0.26431281725004735,72.32,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,1.0,1.14,0.26536327728998915,72.96,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,0.97,1.0,0.24478749144993345,64.0,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,1.0,1.01,0.2477653469400866,64.64,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,1.0,1.0,0.24312668613993083,64.0,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,1.0,1.01,0.2477998509099598,64.64,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,0.99,1.0,0.23735910889008666,64.0,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,1.0,1.01,0.24570170007002162,64.64,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,1.0,1.0,0.24174569000017074,64.0,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,1.0,1.01,0.24300001789999442,64.64,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,1.0,1.0,0.24714361795000514,64.0,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,1.0,1.01,0.24769120911994832,64.64,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,1.0,1.01,0.248182110520047,64.64,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,1.0,1.01,0.2486403139799404,64.64,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,64,0.98,1.0,0.23746020016999864,64.0,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,1.0,1.04,0.2466403365699989,66.56,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,1.0,1.03,0.2439827333400808,65.92,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,1.0,1.03,0.24349283651000406,65.92,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.24406508678996033,64.0,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,1.0,1.0,0.2447747977299514,64.0,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,1.0,1.0,0.24501817153995945,64.0,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,1.0,1.01,0.2469796073600992,64.64,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.9,1.0,0.23351758579002307,64.0,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,1.0,1.05,0.24445459578993906,67.2,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.06,0.2467792600199664,67.84,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.07,0.2515879354799563,68.48,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.94,1.0,0.2445662025699312,64.0,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,1.0,1.02,0.25099246780011525,65.28,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,1.0,1.0,0.2453236487201866,64.0,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,1.0,1.01,0.24733681158013496,64.64,3
uniform_random,disease_to_no_disease,64,0.95,1.0,0.04647119031991678,64.0,3
uniform_random,disease_to_no_disease,128,0.99,1.02,0.04455508725996879,65.28,3
uniform_random,disease_to_no_disease,256,1.0,1.03,0.044982337109986475,65.92,3
uniform_random,disease_to_no_disease,512,1.0,1.03,0.04494987580998895,65.92,3
uniform_random,no_disease_to_disease,64,1.0,1.0,0.0437786508499903,64.0,3
uniform_random,no_disease_to_disease,128,1.0,1.01,0.04390365826999187,64.64,3
uniform_random,no_disease_to_disease,256,1.0,1.0,0.043791830859963736,64.0,3
uniform_random,no_disease_to_disease,512,1.0,1.02,0.04453512058003071,65.28,3
wachter_style,disease_to_no_disease,64,0.0,1.0,0.0488326015700386,64.0,3
wachter_style,disease_to_no_disease,128,0.0,1.0,0.05638753828998233,128.0,3
wachter_style,disease_to_no_disease,256,0.0,1.0,0.07158725040001628,256.0,3
wachter_style,disease_to_no_disease,512,0.0,1.0,0.10112936934000573,512.0,3
wachter_style,no_disease_to_disease,64,0.0,1.0,0.04846842423001362,64.0,3
wachter_style,no_disease_to_disease,128,0.0,1.0,0.056363540409993224,128.0,3
wachter_style,no_disease_to_disease,256,0.0,1.0,0.07157310777997736,256.0,3
wachter_style,no_disease_to_disease,512,0.0,1.0,0.10077152727998509,512.0,3
countergan_one_shot,disease_to_no_disease,64,0.84,1.0,0.04562209118993451,64.0,5
countergan_one_shot,disease_to_no_disease,128,0.92,1.0,0.046978520429984204,128.0,5
countergan_one_shot,disease_to_no_disease,256,0.96,1.0,0.04957538697998643,256.0,5
countergan_one_shot,disease_to_no_disease,512,0.99,1.0,0.05437952401000075,512.0,5
countergan_one_shot,no_disease_to_disease,64,1.0,1.0,0.0451370498999313,64.0,5
countergan_one_shot,no_disease_to_disease,128,1.0,1.0,0.04624302526013707,128.0,5
countergan_one_shot,no_disease_to_disease,256,1.0,1.0,0.047871537889950556,256.0,5
countergan_one_shot,no_disease_to_disease,512,1.0,1.0,0.051421627379895654,512.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.55,1.0,0.23174160297004165,64.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,1.0,1.45,0.3404969954500757,92.8,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.47,0.34696096959993156,94.08,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.46,0.341168353529938,93.44,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.99,1.0,0.24570052371005657,64.0,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,1.0,1.01,0.24742899946000763,64.64,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,1.0,1.01,0.24729010319993905,64.64,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,1.0,1.01,0.24758761945999141,64.64,5
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.05035570695001297,64.0,5
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.058735134980033764,128.0,5
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.07726250462994358,256.0,5
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.11040700701004426,512.0,5
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.05039886246995593,64.0,5
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.059741111220018864,128.0,5
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.07633411901002546,256.0,5
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1093684973499785,512.0,5
genetic_cfe,disease_to_no_disease,64,0.91,1.0,0.04424766527995416,64.0,5
genetic_cfe,disease_to_no_disease,128,0.99,1.05,0.04623464057998717,67.2,5
genetic_cfe,disease_to_no_disease,256,1.0,1.08,0.04739560053999412,69.12,5
genetic_cfe,disease_to_no_disease,512,1.0,1.12,0.04953133188002539,71.68,5
genetic_cfe,no_disease_to_disease,64,0.95,1.0,0.04428551519999928,64.0,5
genetic_cfe,no_disease_to_disease,128,1.0,1.04,0.04578086923002047,66.56,5
genetic_cfe,no_disease_to_disease,256,1.0,1.05,0.04571856752003441,67.2,5
genetic_cfe,no_disease_to_disease,512,1.0,1.04,0.04605031151005278,66.56,5
proposed_countergan,disease_to_no_disease,64,0.84,1.0,0.04578103011999701,64.0,5
proposed_countergan,disease_to_no_disease,128,1.0,1.14,0.051785611329833045,72.96,5
proposed_countergan,disease_to_no_disease,256,1.0,1.14,0.0514399222100019,72.96,5
proposed_countergan,disease_to_no_disease,512,1.0,1.17,0.052902099339953566,74.88,5
proposed_countergan,no_disease_to_disease,64,1.0,1.0,0.045179540469980566,64.0,5
proposed_countergan,no_disease_to_disease,128,1.0,1.0,0.04512382908995278,64.0,5
