method,method_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
countergan_sparse_diverse_no_dp,11,1024,no_disease_to_disease,0.6609999999999999,0.76,0.61,0.631,0.41,0.10552216183982398,0.6119639376218323,0.05644077293292962,0.34683684762367284,0.23842144441004165,1024.0
dice_gradient_style,11,128,disease_to_no_disease,0.006000000000000001,0.06,0.0,0.006000000000000001,0.0,0.019586177698026102,0.7222222222222223,0.0,0.20899571030077854,0.020511078859999542,128.0
dice_gradient_style,11,128,no_disease_to_disease,0.0030000000000000005,0.03,0.0,0.0030000000000000005,0.0,0.012789015347758928,0.7407407407407408,0.0,0.24786887442799158,0.020188862149980197,128.0
dice_gradient_style,11,256,disease_to_no_disease,0.026000000000000002,0.25,0.0,0.026000000000000002,0.0,0.025535862892866135,0.6488888888888888,0.001826975643634796,0.2546545718852082,0.03642130957994596,256.0
dice_gradient_style,11,256,no_disease_to_disease,0.013000000000000001,0.1,0.0,0.013000000000000001,0.0,0.02234941478818655,0.6277777777777779,0.006616684235632419,0.2890517633464513,0.03641119444000651,256.0
dice_gradient_style,11,512,disease_to_no_disease,0.298,0.79,0.03,0.29600000000000004,0.03,0.0856531500061856,0.48053546313039985,0.04915475953794733,0.3368621997030546,0.06752446097994834,512.0
dice_gradient_style,11,512,no_disease_to_disease,0.09700000000000002,0.31,0.0,0.09700000000000002,0.0,0.08657665694913556,0.44371906468680666,0.043687159195542336,0.34406652845916275,0.06763272855995638,512.0
dice_gradient_style,11,1024,disease_to_no_disease,0.32799999999999996,0.83,0.03,0.32799999999999996,0.03,0.0923857271042933,0.49383459764985876,0.0545703457242035,0.36067284866104277,0.13076307949008878,1024.0
dice_gradient_style,11,1024,no_disease_to_disease,0.187,0.61,0.0,0.18600000000000003,0.0,0.10846856834947086,0.4520730332205742,0.04924564643717203,0.3793492888633633,0.13076029511001253,1024.0
genetic_cfe,11,128,disease_to_no_disease,0.06,0.3,0.0,0.057,0.0,0.026080226215223472,0.6956172839506174,0.016192415046195188,0.27920615136471094,0.00666481000004751,128.0
genetic_cfe,11,128,no_disease_to_disease,0.035,0.13,0.0,0.03,0.0,0.031883552527198426,0.6564102564102564,0.027133445327098552,0.3035294559513384,0.006509889039953123,128.0
genetic_cfe,11,256,disease_to_no_disease,0.134,0.42,0.01,0.127,0.01,0.03487341190200476,0.6515526581002772,0.025727420956605955,0.3105753613029813,0.013260272960033036,256.0
genetic_cfe,11,256,no_disease_to_disease,0.046,0.14,0.0,0.044000000000000004,0.0,0.03053085133433342,0.6775510204081633,0.031244610835398947,0.28914571941563944,0.012854235020095075,256.0
genetic_cfe,11,512,disease_to_no_disease,0.312,0.67,0.03,0.293,0.02,0.04233889698759833,0.645309826528732,0.028578089897645945,0.32470937659680554,0.027287967629990816,512.0
genetic_cfe,11,512,no_disease_to_disease,0.124,0.24,0.05,0.11599999999999999,0.02,0.04433520487509668,0.644457304526749,0.027585868801300723,0.33937148237876236,0.025829068469975028,512.0
genetic_cfe,11,1024,disease_to_no_disease,0.534,0.73,0.3,0.49,0.15,0.04551688762866471,0.680658838878017,0.031292144158115126,0.32500633745386226,0.05896970499999952,1024.0
genetic_cfe,11,1024,no_disease_to_disease,0.261,0.48,0.12,0.24,0.06,0.059207153196136154,0.6272045855379189,0.026135379933596898,0.34459008789247164,0.05326624194999567,1024.0
proposed_countergan,11,128,disease_to_no_disease,0.105,0.83,0.0,0.105,0.0,0.17160289846809515,0.34526996876394467,0.005573242812989706,0.38987742291725325,0.009330591030075084,128.0
proposed_countergan,11,128,no_disease_to_disease,0.20800000000000002,0.7,0.0,0.205,0.0,0.13921042292245797,0.386130007558579,0.04325141901416438,0.38493917275569806,0.009037671670002965,128.0
proposed_countergan,11,256,disease_to_no_disease,0.48100000000000004,0.91,0.03,0.47700000000000004,0.03,0.17488233098289468,0.2996002674574103,0.034505613127743806,0.38274168085099514,0.019143601899986606,256.0
proposed_countergan,11,256,no_disease_to_disease,0.396,0.72,0.08,0.391,0.06,0.13926402241405514,0.3833327209484617,0.045039740598036185,0.3857184845250672,0.017567844089962818,256.0
proposed_countergan,11,512,disease_to_no_disease,0.809,0.94,0.6,0.804,0.6,0.17357798364568264,0.29891553153964506,0.03938550422800348,0.37729131387093523,0.03493608664003659,474.88
