method,candidate_budget,direction,outcome,size
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,partial_lt_k,8
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,full_k,40
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,39
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,partial_lt_k,21
proposed_dp_eps8_sparse_diverse,1024,disease_to_no_disease,full_k,89
proposed_dp_eps8_sparse_diverse,1024,disease_to_no_disease,no_valid_cfe,7
proposed_dp_eps8_sparse_diverse,1024,disease_to_no_disease,partial_lt_k,4
proposed_dp_eps8_sparse_diverse,1024,no_disease_to_disease,full_k,49
proposed_dp_eps8_sparse_diverse,1024,no_disease_to_disease,no_valid_cfe,32
proposed_dp_eps8_sparse_diverse,1024,no_disease_to_disease,partial_lt_k,19
uniform_random,128,disease_to_no_disease,no_valid_cfe,70
uniform_random,128,disease_to_no_disease,partial_lt_k,30
uniform_random,128,no_disease_to_disease,no_valid_cfe,87
uniform_random,128,no_disease_to_disease,partial_lt_k,13
uniform_random,256,disease_to_no_disease,full_k,4
uniform_random,256,disease_to_no_disease,no_valid_cfe,56
uniform_random,256,disease_to_no_disease,partial_lt_k,40
uniform_random,256,no_disease_to_disease,full_k,1
uniform_random,256,no_disease_to_disease,no_valid_cfe,84
uniform_random,256,no_disease_to_disease,partial_lt_k,15
uniform_random,512,disease_to_no_disease,full_k,30
uniform_random,512,disease_to_no_disease,no_valid_cfe,34
uniform_random,512,disease_to_no_disease,partial_lt_k,36
uniform_random,512,no_disease_to_disease,full_k,14
uniform_random,512,no_disease_to_disease,no_valid_cfe,77
uniform_random,512,no_disease_to_disease,partial_lt_k,9
uniform_random,1024,disease_to_no_disease,full_k,57
uniform_random,1024,disease_to_no_disease,no_valid_cfe,21
uniform_random,1024,disease_to_no_disease,partial_lt_k,22
uniform_random,1024,no_disease_to_disease,full_k,17
uniform_random,1024,no_disease_to_disease,no_valid_cfe,58
uniform_random,1024,no_disease_to_disease,partial_lt_k,25
wachter_style,128,disease_to_no_disease,no_valid_cfe,94
wachter_style,128,disease_to_no_disease,partial_lt_k,6
wachter_style,128,no_disease_to_disease,no_valid_cfe,97
wachter_style,128,no_disease_to_disease,partial_lt_k,3
wachter_style,256,disease_to_no_disease,no_valid_cfe,75
wachter_style,256,disease_to_no_disease,partial_lt_k,25
wachter_style,256,no_disease_to_disease,no_valid_cfe,90
wachter_style,256,no_disease_to_disease,partial_lt_k,10
wachter_style,512,disease_to_no_disease,full_k,3
wachter_style,512,disease_to_no_disease,no_valid_cfe,21
wachter_style,512,disease_to_no_disease,partial_lt_k,76
wachter_style,512,no_disease_to_disease,no_valid_cfe,69
wachter_style,512,no_disease_to_disease,partial_lt_k,31
wachter_style,1024,disease_to_no_disease,full_k,3
wachter_style,1024,disease_to_no_disease,no_valid_cfe,18
wachter_style,1024,disease_to_no_disease,partial_lt_k,79
wachter_style,1024,no_disease_to_disease,no_valid_cfe,39
wachter_style,1024,no_disease_to_disease,partial_lt_k,61
