method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,0.844,0.9550000000000001,0.705,0.6565,0.175,0.07906683140616745,0.5824542294349058,0.5824542294349058,0.04652472403091466,0.48150621423823337,0.48150621423823337,0.05162004360373926,0.5577615745097628,0.8315001020402109,0.8315001020402109,0.9583922024543182,1.0,4.115076105562307,0.23865507061001606,64.0,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,0.9984999999999999,1.0,0.995,0.776,0.195,0.07729018786922097,0.643,0.643,0.0684097417537123,0.5474669872293003,0.5474669872293003,0.04,0.5306,0.8387722048066877,0.8387722048066877,0.9499657944439238,1.0,5.020320446491242,0.48626316337502884,128.0,2.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,1.0,1.0,1.0,0.7909999999999999,0.19999999999999998,0.07487427921034395,0.7076944444444444,0.7076944444444444,0.07477934665977955,0.599074933855043,0.599074933855043,0.044000000000000004,0.5227,0.8422727272727273,0.8422727272727273,0.9368697280418246,1.0,6.609252293109893,0.9844993134499282,256.0,4.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,1.0,1.0,1.0,0.7725,0.18,0.06781073439866304,0.7676666666666667,0.7676666666666667,0.07296099245548249,0.6328865688016,0.6328865688016,0.04,0.4958000000000001,0.8472727272727272,0.8472727272727272,0.9188851813239507,1.0,7.3351561206579206,2.0136966084099592,512.0,8.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,0.983,1.0,0.96,0.821,0.315,0.09006910560652613,0.5523869047619048,0.5523869047619048,0.06135895904153585,0.5142748987078661,0.5142748987078661,0.05916666666666666,0.6025666666666667,0.8438810965535104,0.8438810965535104,0.9652324938842836,1.0,5.510828290581703,0.24228817958999116,64.0,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,1.0,1.0,1.0,0.833,0.305,0.08662011755630374,0.6197777777777778,0.6197777777777778,0.07534753559157252,0.5632876564723734,0.5632876564723734,0.045000000000000005,0.5958,0.8386363636363636,0.8386363636363636,0.954855150758444,1.0,6.21751426577568,0.4918141044098866,128.0,2.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,1.0,1.0,1.0,0.8285,0.31,0.07974217287264765,0.6915,0.6915,0.07942856255918741,0.6081885273116382,0.6081885273116382,0.043000000000000003,0.572,0.8456060606060607,0.8456060606060607,0.9427471013767579,1.0,7.042895349860191,0.9959961027999953,256.0,4.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,1.0,1.0,1.0,0.8155000000000001,0.22500000000000003,0.06941451774910093,0.7645277777777778,0.7645277777777778,0.07430436213500799,0.62904208757821,0.62904208757821,0.043000000000000003,0.5206,0.8431818181818183,0.8431818181818183,0.9213743427140717,1.0,7.321490643620491,2.0377936850999774,512.0,8.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,64,0.956,0.99,0.88,0.7615000000000001,0.23,0.0854425589369648,0.5856108366627074,0.5856108366627074,0.053276977487364596,0.5097163941561892,0.5097163941561892,0.05325777453838679,0.5576427437641723,0.8296181341008928,0.8296181341008928,0.9583889580381675,1.0,4.349541229186009,0.2407995565799638,64.0,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,1.0,1.0,1.0,0.7635000000000001,0.18,0.08227147204801441,0.6434722222222222,0.6434722222222222,0.0664838353637606,0.5557229567129318,0.5557229567129318,0.05450000000000001,0.5428,0.8303030303030303,0.8303030303030303,0.9493911164273933,1.0,4.987872665822506,0.48776760316992296,128.0,2.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,1.0,1.0,1.0,0.7765000000000001,0.195,0.07775041881948709,0.7072222222222223,0.7072222222222223,0.07387465505860746,0.6022307247776442,0.6022307247776442,0.048999999999999995,0.5265,0.8393939393939395,0.8393939393939395,0.9370996231479463,1.0,6.158650971055031,0.9917020889901005,256.0,4.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,1.0,1.0,1.0,0.7845,0.15500000000000003,0.06984717262908816,0.7684166666666666,0.7684166666666666,0.07087532400153576,0.634886485630901,0.634886485630901,0.051000000000000004,0.5098,0.8512121212121213,0.8512121212121213,0.9199589922870182,1.0,6.90858717918396,2.020698108750066,512.0,8.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,64,0.8714999999999999,0.97,0.76,0.675,0.16,0.07586275563158931,0.6024094115760783,0.6024094115760783,0.050592282948473837,0.4875834554729307,0.4875834554729307,0.037910137296102216,0.5373551133726573,0.8349058632176563,0.8349058632176563,0.9555176335988655,1.0,3.729008113197162,0.23907886683002288,64.0,1.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,0.9975,1.0,0.99,0.7689999999999999,0.155,0.07350948354229331,0.6612767857142856,0.6612767857142856,0.06596803693100811,0.5460752838971719,0.5460752838971719,0.03900000000000001,0.5308,0.8368473193473194,0.8368473193473194,0.9468803331552628,1.0,4.590324786007404,0.48449911513997906,128.0,2.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,256,1.0,1.0,1.0,0.7655000000000001,0.135,0.07034118270501494,0.72125,0.72125,0.07151325272396207,0.5883209154053717,0.5883209154053717,0.041999999999999996,0.508,0.8403030303030303,0.8403030303030303,0.9341218215571891,1.0,5.8433213412761695,0.9841509000301175,256.0,4.0
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,1.0,1.0,1.0,0.7585,0.14,0.06260832880623639,0.7784444444444445,0.7784444444444445,0.06664830459281802,0.6078596915513699,0.6078596915513699,0.044000000000000004,0.4872,0.843939393939394,0.843939393939394,0.9149733761595797,1.0,6.363293281793594,2.0117120025300754,512.0,8.0
uniform_random,Uniform constrained random,64,0.895,0.99,0.7549999999999999,0.752,0.16,0.08766297622374734,0.16110269994241083,0.16110269994241083,0.10647455049716696,0.6287134982586724,0.6287134982586724,0.01813605442176871,0.3742477891156463,0.8474847839626165,0.8474847839626165,0.966906367787004,1.0,4.79487412121223,0.04585777950999272,64.0,1.0
uniform_random,Uniform constrained random,128,0.9935,1.0,0.99,0.8275,0.155,0.09054786302149295,0.19038888888888889,0.19038888888888889,0.11346110723912717,0.6462652929448476,0.6462652929448476,0.018000000000000002,0.3789,0.8454597254597255,0.8454597254597255,0.9644953092951636,1.0,5.104234112501144,0.08850714869494822,128.0,2.0
uniform_random,Uniform constrained random,256,0.999,1.0,0.995,0.8380000000000001,0.13,0.09217834673821926,0.20974305555555556,0.20974305555555556,0.11872416019439697,0.6598723443875509,0.6598723443875509,0.017,0.39289999999999997,0.8430594405594406,0.8430594405594406,0.9615360485317703,1.0,5.346730865240097,0.178832120244997,256.0,4.0
uniform_random,Uniform constrained random,512,1.0,1.0,1.0,0.836,0.155,0.09320805575698615,0.21077777777777779,0.21077777777777779,0.12053289875388146,0.6668779074511504,0.6668779074511504,0.017,0.3957,0.8336363636363637,0.8336363636363637,0.9618960566464749,1.0,5.2784769296646115,0.36527450268000394,512.0,8.0
wachter_style,Custom Wachter-style gradient,64,0.0305,0.305,0.0,0.011,0.0,0.021638866181996078,0.8353942652329749,0.8353942652329749,0.0,0.39248092758670305,0.39248092758670305,0.26344086021505375,0.35161290322580646,0.8364143920595533,0.8364143920595533,0.4405395188722332,1.0,1.1938445809066938,0.048650512900026116,64.0,1.0
wachter_style,Custom Wachter-style gradient,128,0.076,0.76,0.0,0.0545,0.0,0.037090668363303055,0.04531063321385903,0.04531063321385903,0.0,0.42204528496032195,0.42204528496032195,0.11648745519713262,0.3305017921146953,0.8873449131513649,0.8873449131513649,0.9487789500573411,1.0,2.9056555584340114,0.05637553934998778,128.0,1.0
wachter_style,Custom Wachter-style gradient,256,0.101,0.99,0.0,0.1005,0.0,0.05928887533328059,0.032760770975056704,0.032760770975056704,0.0006513210792778706,0.48668017355043913,0.48668017355043913,0.07642857142857143,0.31712244897959185,0.904234693877551,0.904234693877551,0.9943385796928716,1.0,6.969892567420493,0.07158017908999681,256.0,1.0
wachter_style,Custom Wachter-style gradient,512,0.1015,1.0,0.0,0.101,0.0,0.07281908184289933,0.04277777777777778,0.04277777777777778,0.0004274058248847723,0.5309605361001397,0.5309605361001397,0.055,0.3235,0.9253846153846155,0.9253846153846155,0.9951506644628096,1.0,10.374793672561644,0.10095044830999542,512.0,1.0
