query_id,query_group_id,direction,difficulty_stratum,method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,1.0,1.0,1.0,1.0,1.0,0.113207146525383,0.38333333333333336,0.38333333333333336,0.04810924455523491,0.5426415894830044,0.5426415894830044,0.1,0.32,0.9696969696969697,0.9696969696969697,0.9828530758905473,1.0,13.194018363952637,0.2536219510002411,64.0,1.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,1.0,1.0,1.0,1.0,1.0,0.10850982367992401,0.5222222222222223,0.5222222222222223,0.0878334492444992,0.6388996728643602,0.6388996728643602,0.3,0.4,1.0,1.0,0.9694921926974104,1.0,14.618908882141113,0.4977094850000867,128.0,2.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,1.0,1.0,1.0,0.9,0.0,0.08120646327733994,0.6944444444444444,0.6944444444444444,0.08514998853206635,0.6984828175038684,0.6984828175038684,0.0,0.22000000000000003,1.0,1.0,0.9482353084007495,1.0,10.696158409118652,1.0129473769993638,256.0,4.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,1.0,1.0,1.0,0.9,0.0,0.07509592175483704,0.7444444444444445,0.7444444444444445,0.06720789521932602,0.6894736510104941,0.6894736510104941,0.0,0.08,0.8484848484848485,0.8484848484848485,0.920506993006993,1.0,7.751757621765137,2.079874158000166,512.0,8.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,1.0,1.0,1.0,1.0,1.0,0.11072758585214615,0.4166666666666667,0.4166666666666667,0.04962460696697235,0.5247107591058306,0.5247107591058306,0.4,0.36000000000000004,0.8484848484848485,0.8484848484848485,0.9821494224692164,1.0,9.372159957885742,0.255814948999614,64.0,1.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,1.0,1.0,1.0,1.0,1.0,0.11325325071811676,0.47777777777777775,0.47777777777777775,0.08608511835336685,0.6185713958415698,0.6185713958415698,0.1,0.36,0.9393939393939394,0.9393939393939394,0.9771645547911281,1.0,12.443867683410645,0.5138076940002065,128.0,2.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,1.0,1.0,1.0,1.0,1.0,0.10420845448970795,0.5833333333333333,0.5833333333333333,0.09052573144435883,0.6524755007140449,0.6524755007140449,0.2,0.5,0.8787878787878788,0.8787878787878788,0.9659282302664656,1.0,9.421259880065918,1.098699680000209,256.0,4.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,1.0,1.0,1.0,1.0,1.0,0.0971287339925766,0.7277777777777777,0.7277777777777777,0.10247313231229782,0.7759656193860212,0.7759656193860212,0.0,0.3,0.9393939393939394,0.9393939393939394,0.9205139305139305,1.0,16.83241081237793,2.01984022599936,512.0,8.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,64,1.0,1.0,1.0,0.6,0.0,0.0762140080332756,0.6055555555555555,0.6055555555555555,0.044658876955509186,0.531246684728747,0.531246684728747,0.2,0.14,0.9393939393939394,0.9393939393939394,0.9537963545742183,1.0,4.893372535705566,0.2666368190002686,64.0,1.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,1.0,1.0,1.0,0.8,0.0,0.06855431199073792,0.6777777777777777,0.6777777777777777,0.04838576167821884,0.544163032823636,0.544163032823636,0.1,0.08,0.9090909090909091,0.9090909090909091,0.9413768461930225,1.0,3.5232162475585938,0.5273087620007573,128.0,2.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,1.0,1.0,1.0,0.7,0.0,0.06661903113126755,0.7333333333333334,0.7333333333333334,0.0634022206068039,0.6159417972285676,0.6159417972285676,0.0,0.12,0.8181818181818182,0.8181818181818182,0.9402285214785214,1.0,5.90476131439209,1.0105746379995253,256.0,4.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,1.0,1.0,1.0,0.9,0.0,0.07232066243886948,0.7777777777777778,0.7777777777777778,0.07509256154298782,0.6959296139421164,0.6959296139421164,0.0,0.02,0.9090909090909091,0.9090909090909091,0.9097727272727273,1.0,7.936551570892334,2.074106980000579,512.0,8.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,64,1.0,1.0,1.0,0.8,0.0,0.09122201055288315,0.5,0.5,0.05639063939452171,0.5349533838322645,0.5349533838322645,0.0,0.02,0.9393939393939394,0.9393939393939394,0.9731134654818865,1.0,5.90273380279541,0.25129875099992205,64.0,1.0
76,11,disease_to_no_disease,high_confidence,proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,1.0,1.0,1.0,0.9,0.0,0.08945636451244354,0.5888888888888889,0.5888888888888889,0.07464318722486496,0.6122866551085133,0.6122866551085133,0.0,0.2,0.8181818181818182,0.8181818181818182,0.9640100499775421,1.0,6.209251403808594,0.5073423720004939,128.0,2.0
