method,epsilon,search_seed,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
proposed_dp_eps8_sparse_diverse,8,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0715472400188446,0.7944444444444445,0.051080480217933655,0.7275081133079041,0.7275081133079041,0.0,0.9199999999999999,0.9393939393939394,0.9393939393939394,81,1.0,4.376038074493408,0.481687068939209,0.95,0.8,0.8,0.0,0.896967291967292,2.03201777600043,2.03201777600043,2.03201777600043,0.203201777600043,512,251.9662997278286,8,1.0,1.0,1.0,64.0,64.0,0.24183492800057138,0.24183492800057138,1.0,1.0,1.0,64.0,64.0,0.24183492800057138,0.24183492800057138,1.0,2.0,2.0,128.0,128.0,0.495708643999933,0.495708643999933,1.0,2.0,2.0,128.0,128.0,0.495708643999933,0.495708643999933,0.7944444444444445
proposed_dp_eps8_sparse_diverse,8,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07845553010702133,0.7444444444444445,0.09453246742486954,0.6456010725843856,0.6456010725843856,0.0,0.7999999999999999,0.7878787878787878,0.7878787878787878,81,1.0,11.518606185913086,1.2934956550598145,0.9666666666666668,0.8,0.8,0.0,0.9605814555814558,2.011989003999588,2.011989003999588,2.011989003999588,0.2011989003999588,512,254.4745517903958,8,1.0,1.0,1.0,64.0,64.0,0.18435686799966788,0.18435686799966788,1.0,1.0,1.0,64.0,64.0,0.18435686799966788,0.18435686799966788,1.0,1.0,1.0,64.0,64.0,0.18435686799966788,0.18435686799966788,1.0,1.0,1.0,64.0,64.0,0.18435686799966788,0.18435686799966788,0.7444444444444445
proposed_dp_eps8_sparse_diverse,8,11,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.13300003111362457,0.6,0.12635430693626404,0.8610552120083312,0.8610552120083312,0.1,0.9400000000000001,0.9696969696969697,0.9696969696969697,81,1.0,13.511526107788086,0.9376883506774902,1.0,1.0,1.0,1.0,0.9446858844343364,2.014447874000325,2.014447874000325,2.014447874000325,0.20144478740003252,512,254.1639357404973,8,1.0,1.0,1.0,64.0,64.0,0.2384410900003786,0.2384410900003786,1.0,1.0,1.0,64.0,64.0,0.2384410900003786,0.2384410900003786,1.0,1.0,1.0,64.0,64.0,0.2384410900003786,0.2384410900003786,1.0,2.0,2.0,128.0,128.0,0.48092093800005387,0.48092093800005387,0.6
proposed_dp_eps8_sparse_diverse,8,11,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0829973891377449,0.8388888888888889,0.08911408483982086,0.7332855497011328,0.7332855497011328,0.0,0.86,0.7878787878787878,0.7878787878787878,81,1.0,5.13441801071167,1.4848284721374512,0.9833333333333334,0.9,0.9,0.0,0.896957671957672,2.0650836310005616,2.0650836310005616,2.0650836310005616,0.20650836310005616,512,247.9318475600569,8,1.0,1.0,1.0,64.0,64.0,0.25781288300004235,0.25781288300004235,1.0,1.0,1.0,64.0,64.0,0.25781288300004235,0.25781288300004235,1.0,1.0,1.0,64.0,64.0,0.25781288300004235,0.25781288300004235,1.0,1.0,1.0,64.0,64.0,0.25781288300004235,0.25781288300004235,0.8388888888888889
proposed_dp_eps8_sparse_diverse,8,11,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.14866995811462402,0.65,0.17878417670726776,0.9544366718233549,0.9544366718233549,0.0,0.8400000000000001,0.9393939393939394,0.9393939393939394,81,1.0,12.44285774230957,0.9197878837585449,0.9666666666666666,0.9,0.9,0.0,0.9541772328691833,2.027122942999995,2.027122942999995,2.027122942999995,0.20271229429999948,512,252.5747151982194,8,1.0,1.0,1.0,64.0,64.0,0.23586376800085418,0.23586376800085418,1.0,1.0,1.0,64.0,64.0,0.23586376800085418,0.23586376800085418,1.0,1.0,1.0,64.0,64.0,0.23586376800085418,0.23586376800085418,1.0,2.0,2.0,128.0,128.0,0.4777188620000743,0.4777188620000743,0.65
proposed_dp_eps8_sparse_diverse,8,11,7,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07675761729478836,0.6277777777777779,0.06012696027755737,0.7713234842100796,0.7713234842100796,0.0,0.36,0.8181818181818182,0.8181818181818182,81,1.0,3.1671910285949707,0.29707860946655273,0.8833333333333332,0.7,0.7,0.0,0.9627990555196438,2.04281323899977,2.04281323899977,2.04281323899977,0.204281323899977,512,250.6347571208675,8,1.0,1.0,1.0,64.0,64.0,0.24606843099991238,0.24606843099991238,1.0,1.0,1.0,64.0,64.0,0.24606843099991238,0.24606843099991238,1.0,1.0,1.0,64.0,64.0,0.24606843099991238,0.24606843099991238,1.0,1.0,1.0,64.0,64.0,0.24606843099991238,0.24606843099991238,0.6277777777777779
proposed_dp_eps4_sparse_diverse,4,11,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09662090241909027,0.7611111111111112,0.11370658874511719,0.8763582894344617,0.8763582894344617,0.0,0.08,0.8787878787878788,0.8787878787878788,81,1.0,11.129030227661133,3.2970523834228516,1.0,1.0,1.0,1.0,0.895862285862286,2.0446550110000317,2.0446550110000317,2.0446550110000317,0.20446550110000317,512,250.4089918570581,8,1.0,1.0,1.0,64.0,64.0,0.24867221400018025,0.24867221400018025,1.0,1.0,1.0,64.0,64.0,0.24867221400018025,0.24867221400018025,1.0,1.0,1.0,64.0,64.0,0.24867221400018025,0.24867221400018025,1.0,1.0,1.0,64.0,64.0,0.24867221400018025,0.24867221400018025,0.7611111111111112
proposed_dp_eps4_sparse_diverse,4,11,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.09654216468334198,0.7833333333333334,0.0799398347735405,0.8202239342310396,0.8202239342310396,0.0,0.06,0.8787878787878788,0.8787878787878788,81,1.0,7.293748378753662,1.362196922302246,1.0,1.0,1.0,1.0,0.9258778258778259,2.094256176000272,2.094256176000272,2.094256176000272,0.20942561760002718,512,244.47820943178326,8,1.0,1.0,1.0,64.0,64.0,0.24553288999959477,0.24553288999959477,1.0,1.0,1.0,64.0,64.0,0.24553288999959477,0.24553288999959477,1.0,1.0,1.0,64.0,64.0,0.24553288999959477,0.24553288999959477,1.0,1.0,1.0,64.0,64.0,0.24553288999959477,0.24553288999959477,0.7833333333333334
proposed_dp_eps4_sparse_diverse,4,11,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08144669234752655,0.7611111111111112,0.05788047984242439,0.748145393700179,0.748145393700179,0.0,0.8,0.8787878787878788,0.8787878787878788,81,1.0,5.31627893447876,0.7848043441772461,0.9833333333333334,0.9,0.9,0.0,0.9131000481000482,1.987992168999881,1.987992168999881,1.987992168999881,0.19879921689998808,512,257.5462861393347,8,1.0,1.0,1.0,64.0,64.0,0.23644427100043686,0.23644427100043686,1.0,1.0,1.0,64.0,64.0,0.23644427100043686,0.23644427100043686,1.0,2.0,2.0,128.0,128.0,0.48100617000000057,0.48100617000000057,1.0,2.0,2.0,128.0,128.0,0.48100617000000057,0.48100617000000057,0.7611111111111112
proposed_dp_eps4_sparse_diverse,4,11,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.059310924261808395,0.7944444444444445,0.06989928334951401,0.5439339111111826,0.5439339111111826,0.0,0.76,0.8181818181818182,0.8181818181818182,81,1.0,9.444368362426758,1.6916632652282715,0.9833333333333334,0.9,0.9,0.0,0.947622655122655,1.8986778420003247,1.8986778420003247,1.8986778420003247,0.18986778420003247,512,269.6613341527122,8,1.0,1.0,1.0,64.0,64.0,0.1741174549997595,0.1741174549997595,1.0,1.0,1.0,64.0,64.0,0.1741174549997595,0.1741174549997595,1.0,1.0,1.0,64.0,64.0,0.1741174549997595,0.1741174549997595,1.0,1.0,1.0,64.0,64.0,0.1741174549997595,0.1741174549997595,0.7944444444444445
