population,maximum_rounds,candidate_budget,query_number,direction,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
32,16,512,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06954605132341385,0.7500000000000001,0.0623447522521019,0.7052236227997787,0.7052236227997787,0.0,0.45999999999999996,0.9090909090909091,0.9090909090909091,81,1.0,5.190908908843994,0.29668760299682617,0.95,0.7,0.7,0.0,0.9143275243275244,3.883327391000421,3.883327391000421,3.883327391000421,0.38833273910004207,512,131.84569531442438,16,1.0,1.0,1.0,32.0,32.0,0.23590472800060525,0.23590472800060525,1.0,2.0,2.0,64.0,64.0,0.47856536400013283,0.47856536400013283,1.0,2.0,2.0,64.0,64.0,0.47856536400013283,0.47856536400013283,1.0,3.0,3.0,96.0,96.0,0.718388903000232,0.718388903000232,0.7500000000000001
32,16,512,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08175501972436905,0.7611111111111112,0.10242810845375061,0.6960009187621748,0.6960009187621748,0.0,0.76,0.7272727272727273,0.7272727272727273,81,1.0,16.18277931213379,3.887155055999756,1.0,1.0,1.0,1.0,0.9472446997446997,3.9434394920008344,3.9434394920008344,3.9434394920008344,0.3943439492000834,512,129.8358960594118,16,1.0,1.0,1.0,32.0,32.0,0.2727223130004859,0.2727223130004859,1.0,1.0,1.0,32.0,32.0,0.2727223130004859,0.2727223130004859,1.0,1.0,1.0,32.0,32.0,0.2727223130004859,0.2727223130004859,1.0,1.0,1.0,32.0,32.0,0.2727223130004859,0.2727223130004859,0.7611111111111112
32,16,512,4,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.12585434317588806,0.5833333333333333,0.1272498071193695,0.8651893444570483,0.8651893444570483,0.0,0.9800000000000001,0.9393939393939394,0.9393939393939394,81,1.0,13.911272048950195,0.7536282539367676,0.9666666666666668,0.8,0.8,0.0,0.9581826234767412,4.047951231999832,4.047951231999832,4.047951231999832,0.40479512319998323,512,126.48373724281598,16,1.0,1.0,1.0,32.0,32.0,0.23906050200002937,0.23906050200002937,1.0,1.0,1.0,32.0,32.0,0.23906050200002937,0.23906050200002937,1.0,1.0,1.0,32.0,32.0,0.23906050200002937,0.23906050200002937,1.0,1.0,1.0,32.0,32.0,0.23906050200002937,0.23906050200002937,0.5833333333333333
32,16,512,5,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08258616179227829,0.7722222222222223,0.0802207887172699,0.8916452474397379,0.8916452474397379,0.0,1.0,0.8787878787878788,0.8787878787878788,81,1.0,19.40740203857422,0.9267077445983887,1.0,1.0,1.0,1.0,0.9550355200355198,3.7385190209997745,3.7385190209997745,3.7385190209997745,0.37385190209997743,512,136.9526267283985,16,1.0,1.0,1.0,32.0,32.0,0.16330416500022693,0.16330416500022693,1.0,1.0,1.0,32.0,32.0,0.16330416500022693,0.16330416500022693,1.0,1.0,1.0,32.0,32.0,0.16330416500022693,0.16330416500022693,1.0,2.0,2.0,64.0,64.0,0.3299017339995771,0.3299017339995771,0.7722222222222223
32,16,512,6,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.12733711302280426,0.7666666666666667,0.10587260872125626,1.1643608588238505,1.1643608588238505,0.1,0.9200000000000002,0.9090909090909091,0.9090909090909091,81,1.0,16.100852966308594,1.068260669708252,0.9833333333333334,0.9,0.9,0.0,0.9334547859547861,3.866105353000421,3.866105353000421,3.866105353000421,0.3866105353000421,512,132.43301805074847,16,1.0,1.0,1.0,32.0,32.0,0.16296355000031326,0.16296355000031326,1.0,2.0,2.0,64.0,64.0,0.40305136000006314,0.40305136000006314,1.0,2.0,2.0,64.0,64.0,0.40305136000006314,0.40305136000006314,1.0,3.0,3.0,96.0,96.0,0.6449964940002246,0.6449964940002246,0.7666666666666667
32,16,512,7,no_disease_to_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07344180345535278,0.6444444444444445,0.04831541329622269,0.7314748556256934,0.7314748556256934,0.0,0.8,0.9090909090909091,0.9090909090909091,81,1.0,1.6747114658355713,0.35385656356811523,0.9666666666666668,0.8,0.8,0.0,0.9567705905205907,4.136004624999259,4.136004624999259,4.136004624999259,0.41360046249992594,512,123.79096408773762,16,1.0,1.0,1.0,32.0,32.0,0.27887338399978034,0.27887338399978034,1.0,1.0,1.0,32.0,32.0,0.27887338399978034,0.27887338399978034,1.0,1.0,1.0,32.0,32.0,0.27887338399978034,0.27887338399978034,1.0,1.0,1.0,32.0,32.0,0.27887338399978034,0.27887338399978034,0.6444444444444445
64,8,512,0,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.08249706029891968,0.7666666666666667,0.09180699288845062,0.7708632735718196,0.7708632735718196,0.0,0.0,0.7575757575757576,0.7575757575757576,81,1.0,5.112808704376221,0.17839384078979492,0.95,0.9,0.9,0.0,0.8678354978354978,2.055280589999711,2.055280589999711,2.055280589999711,0.20552805899997112,512,249.11440437437886,8,1.0,1.0,1.0,64.0,64.0,0.2515838970002733,0.2515838970002733,1.0,1.0,1.0,64.0,64.0,0.2515838970002733,0.2515838970002733,1.0,1.0,1.0,64.0,64.0,0.2515838970002733,0.2515838970002733,1.0,1.0,1.0,64.0,64.0,0.2515838970002733,0.2515838970002733,0.7666666666666667
64,8,512,1,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.10721824318170547,0.7666666666666667,0.07628994435071945,0.8339274934036955,0.8339274934036955,0.0,0.02,0.9090909090909091,0.9090909090909091,81,1.0,8.540536880493164,0.2748751640319824,0.9333333333333333,0.8,0.8,0.0,0.9192809042809043,2.07125906499914,2.07125906499914,2.07125906499914,0.20712590649991397,512,247.19264173755715,8,1.0,1.0,1.0,64.0,64.0,0.25141358699966077,0.25141358699966077,1.0,1.0,1.0,64.0,64.0,0.25141358699966077,0.25141358699966077,1.0,1.0,1.0,64.0,64.0,0.25141358699966077,0.25141358699966077,1.0,1.0,1.0,64.0,64.0,0.25141358699966077,0.25141358699966077,0.7666666666666667
64,8,512,2,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06461472064256668,0.7833333333333334,0.051727015525102615,0.6978802872428529,0.6978802872428529,0.0,0.6799999999999999,0.9090909090909091,0.9090909090909091,81,1.0,2.146141290664673,0.35797834396362305,0.9333333333333333,0.7,0.7,0.0,0.8906391756391756,2.069418154000232,2.069418154000232,2.069418154000232,0.20694181540002318,512,247.41253912859153,8,1.0,1.0,1.0,64.0,64.0,0.2518861210000978,0.2518861210000978,1.0,1.0,1.0,64.0,64.0,0.2518861210000978,0.2518861210000978,1.0,2.0,2.0,128.0,128.0,0.5057768320002651,0.5057768320002651,1.0,2.0,2.0,128.0,128.0,0.5057768320002651,0.5057768320002651,0.7833333333333334
64,8,512,3,disease_to_no_disease,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06948205083608627,0.8,0.0837891697883606,0.5979390345489187,0.5979390345489187,0.0,0.6000000000000001,0.7272727272727273,0.7272727272727273,81,1.0,7.419122219085693,0.4515671730041504,0.95,0.9,0.9,0.0,0.9282852332852333,2.102396432000205,2.102396432000205,2.102396432000205,0.2102396432000205,512,243.5316157347579,8,1.0,1.0,1.0,64.0,64.0,0.254723482999907,0.254723482999907,1.0,1.0,1.0,64.0,64.0,0.254723482999907,0.254723482999907,1.0,1.0,1.0,64.0,64.0,0.254723482999907,0.254723482999907,1.0,1.0,1.0,64.0,64.0,0.254723482999907,0.254723482999907,0.8
