method,candidate_budget,direction,outcome,size
uniform_random,64,no_disease_to_disease,full_k,82
uniform_random,64,no_disease_to_disease,partial_lt_k,18
uniform_random,128,disease_to_no_disease,full_k,99
uniform_random,128,disease_to_no_disease,partial_lt_k,1
uniform_random,128,no_disease_to_disease,full_k,99
uniform_random,128,no_disease_to_disease,partial_lt_k,1
uniform_random,256,disease_to_no_disease,full_k,99
uniform_random,256,disease_to_no_disease,partial_lt_k,1
uniform_random,256,no_disease_to_disease,full_k,100
uniform_random,512,disease_to_no_disease,full_k,100
uniform_random,512,no_disease_to_disease,full_k,100
wachter_style,64,disease_to_no_disease,no_valid_cfe,70
wachter_style,64,disease_to_no_disease,partial_lt_k,30
wachter_style,64,no_disease_to_disease,no_valid_cfe,69
wachter_style,64,no_disease_to_disease,partial_lt_k,31
wachter_style,128,disease_to_no_disease,no_valid_cfe,38
wachter_style,128,disease_to_no_disease,partial_lt_k,62
wachter_style,128,no_disease_to_disease,no_valid_cfe,10
wachter_style,128,no_disease_to_disease,partial_lt_k,90
wachter_style,256,disease_to_no_disease,no_valid_cfe,2
wachter_style,256,disease_to_no_disease,partial_lt_k,98
wachter_style,256,no_disease_to_disease,partial_lt_k,100
wachter_style,512,disease_to_no_disease,partial_lt_k,100
wachter_style,512,no_disease_to_disease,partial_lt_k,100
