method,generator_training_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_dp_eps4_sparse_diverse,11.0,64,no_disease_to_disease,0.983,0.99,0.96,0.966,0.84,0.13439805007944203,0.279332541097247,0.07155671550167932,0.8109689973407495,0.36435628575995,64.0
proposed_dp_eps4_sparse_diverse,11.0,128,disease_to_no_disease,0.95,0.99,0.91,0.86,0.52,0.13725964589552445,0.3017784049646795,0.06828549790261972,0.9040394727215799,0.7887702131699279,128.0
proposed_dp_eps4_sparse_diverse,11.0,128,no_disease_to_disease,0.99,0.99,0.99,0.971,0.84,0.13046183881133494,0.3447712418300653,0.07944500088842228,0.8275712454222104,0.7506304983500013,128.0
proposed_dp_eps4_sparse_diverse,11.0,256,disease_to_no_disease,1.0,1.0,1.0,0.909,0.49,0.1312091864645481,0.38938235294117646,0.08348596710711717,0.9257571336086484,1.6381912144799207,256.0
proposed_dp_eps4_sparse_diverse,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.9570000000000001,0.75,0.11780962603862839,0.4528520499108734,0.08328502847239225,0.8405602787094014,1.6084731739399285,256.0
proposed_dp_eps4_sparse_diverse,11.0,512,disease_to_no_disease,1.0,1.0,1.0,0.892,0.4,0.11751017920672893,0.5061764705882353,0.09176497824490071,0.946481584124206,3.413264712599912,512.0
proposed_dp_eps4_sparse_diverse,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.9540000000000001,0.7,0.0885428777999348,0.6202614379084967,0.07395368660188685,0.850312186646606,3.4470517963699603,512.0
proposed_dp_eps8_sparse_diverse,11.0,64,disease_to_no_disease,0.862,0.92,0.81,0.802,0.66,0.11978713714558145,0.2799718619331791,0.05052807151704379,0.7954913715298816,0.3705360623200431,64.0
proposed_dp_eps8_sparse_diverse,11.0,64,no_disease_to_disease,0.9670000000000001,0.99,0.94,0.924,0.69,0.11485895920883525,0.30284143960614546,0.0797938857641485,0.7790189075154834,0.3921881152499918,64.0
proposed_dp_eps8_sparse_diverse,11.0,128,disease_to_no_disease,0.9390000000000001,0.97,0.9,0.883,0.64,0.1185180467275,0.3377258463522866,0.06598507870257515,0.8227044771620745,0.7733812507000767,128.0
proposed_dp_eps8_sparse_diverse,11.0,128,no_disease_to_disease,0.99,0.99,0.99,0.9420000000000001,0.69,0.11169606394538975,0.3633986928104575,0.08665201391535576,0.7954076093895767,0.8120941238200067,128.0
proposed_dp_eps8_sparse_diverse,11.0,256,disease_to_no_disease,1.0,1.0,1.0,0.9129999999999999,0.58,0.11379136718809604,0.42870588235294116,0.07972053654491901,0.8556898427249243,1.616498387370075,256.0
proposed_dp_eps8_sparse_diverse,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.932,0.64,0.10309584457615409,0.4683600713012478,0.08962846656489853,0.8132979901778224,1.689135977940041,256.0
proposed_dp_eps8_sparse_diverse,11.0,512,disease_to_no_disease,1.0,1.0,1.0,0.879,0.38,0.0977298103645444,0.5669705882352941,0.0815652340091765,0.8821928060153721,3.3835191427401243,512.0
proposed_dp_eps8_sparse_diverse,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.915,0.5,0.08397104717189013,0.6073677956030897,0.0806597593908358,0.8226387131714967,3.503406148570066,512.0
