dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
mimic,dp_eps16,released_discriminator_score,evaluation_auc,0.50034635,0.0101210282471967,0.49373539125,0.50546824125,10
mimic,dp_eps16,released_discriminator_score,evaluation_accuracy,0.4987,0.0103258037082941,0.49265,0.5045499999999998,10
mimic,dp_eps16,released_discriminator_score,evaluation_balanced_accuracy,0.4987,0.0103258037082942,0.4927499999999999,0.50475,10
mimic,dp_eps16,released_discriminator_score,evaluation_membership_advantage,-0.0026,0.0206516074165883,-0.0146,0.0092999999999999,10
mimic,dp_eps16,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.4957,0.1298674965750347,0.4234949999999999,0.5750025,10
mimic,dp_eps16,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.4983000000000001,0.1363720808833114,0.4223,0.5823025000000001,10
mimic,dp_eps16,released_discriminator_score,tpr_at_fpr_0.001,0.0023,0.0022632326929023,0.001,0.0037,10
mimic,dp_eps16,released_discriminator_score,tpr_at_fpr_0.01,0.0109,0.0061182786250164,0.0074,0.0145999999999999,10
mimic,dp_eps16,released_discriminator_score,tpr_at_fpr_0.05,0.0559,0.0087235313950257,0.051,0.0613,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_auc,0.5041978500000001,0.0143055962205355,0.49568091,0.5127555174999999,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_accuracy,0.5035000000000001,0.0105646159944936,0.49725,0.50985125,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_balanced_accuracy,0.5035000000000001,0.0105646159944936,0.4975487499999999,0.51,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_membership_advantage,0.0069999999999999,0.0211292319889872,-0.0052025,0.0198024999999999,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_tpr_at_calibrated_threshold,0.5858,0.1965343057416015,0.4726975,0.7030025,10
mimic,dp_eps16,single_draw_loss_threshold,evaluation_fpr_at_calibrated_threshold,0.5788,0.1955975459968759,0.4703925,0.6958075,10
mimic,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0013,0.0015670212364724,0.0005,0.0023,10
mimic,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.01,0.0082,0.0033598941782277,0.0062,0.0101999999999999,10
mimic,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.05,0.0470999999999999,0.0056263270039658,0.0438999999999999,0.0505,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.4995355499999999,0.0087620203449318,0.4945328699999999,0.5049365425,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.49905,0.0092419634758469,0.4933499999999999,0.5040512500000001,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.49905,0.0092419634758469,0.4935499999999999,0.50405,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.0019,0.0184839269516938,-0.0137,0.0082999999999999,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.4829,0.1552585299141761,0.3980975,0.5782999999999999,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.4848,0.1540676619036079,0.3999975,0.5801099999999999,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0021999999999999,0.0024855135843076,0.0008,0.0036999999999999,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0107,0.0041646661864361,0.0082975,0.0131,10
mimic,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0445999999999999,0.0069314099896373,0.0404999999999999,0.0486,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_auc,0.4909545999999999,0.0105188739279027,0.484395445,0.4964521724999999,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_accuracy,0.4935,0.0115205131058569,0.4864499999999999,0.4999999999999999,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_balanced_accuracy,0.4935,0.0115205131058569,0.48649875,0.49985,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_membership_advantage,-0.013,0.0230410262117139,-0.0275,0.0003999999999999,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.3369,0.0879841526134741,0.2818974999999999,0.3853025,10
mimic,dp_eps2,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.3499,0.1021169808493072,0.289895,0.4075,10
