method,method_label,candidate_budget,mean_target_logit_margin,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,6.541870770129291,0.1338607423534297,0.3232748233973724,0.19823699962588848,0.073865249395521,0.8658053590718952,0.8658053590718952,0.47575757575757577,0.732665544332211,0.9241414975316491,0.9241414975316491,0.9816331751832896
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,6.6042402322996745,0.12450940625158824,0.42111720142602493,0.31567508417508416,0.08338549778975471,0.8831587061590249,0.8831587061590249,0.43763636363636366,0.7132666666666667,0.916284052647689,0.916284052647689,0.9727489822690858
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,6.197708512183391,0.10302652850333187,0.5632189542483661,0.47276052188552187,0.08285933242339377,0.8983968853854061,0.8983968853854061,0.4220252525252525,0.6851232323232324,0.9126599326599327,0.9126599326599327,0.9455975471071765
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,64,5.120405978813185,0.11732304817720834,0.29140665076966227,0.15821186328432704,0.06516097864059614,0.7872551395226826,0.7872551395226826,0.6298345776606645,0.6571038804190978,0.9105887488158473,0.9105887488158473,0.983753389885066
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,128,5.7065966238699195,0.11510705533644489,0.35056226958137204,0.222772320033918,0.07631854630896545,0.8090560432758256,0.8090560432758256,0.5782225792535071,0.6592295934306244,0.9128877776790663,0.9128877776790663,0.9786764800177398
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,256,5.66776248046244,0.10844360588212507,0.4485329768270945,0.3410500841750842,0.08467450155490877,0.8344939164513734,0.8344939164513734,0.5215555555555556,0.6450212121212121,0.9095378022650751,0.9095378022650751,0.9687091809505872
proposed_dp_eps8_sparse_diverse,Unified DP-CounterGAN epsilon=8 + counted sparse-diverse search,512,5.437645347455535,0.09085042876821726,0.5871691919191919,0.4959145622895623,0.08111249670000614,0.8524157595934344,0.8524157595934344,0.5094444444444445,0.6242161616161617,0.908886827458256,0.908886827458256,0.9384258803848353
uniform_random,Uniform constrained random,64,1.791290766896977,0.08106318241714136,0.15177098315171483,0.007541676594148129,0.08971819383965701,0.831910859876547,0.831910859876547,0.47046762545597953,0.526625238259555,0.8561768559948637,0.8561768559948637,0.9696559527269342
uniform_random,Uniform constrained random,128,1.9777992999587304,0.09247438177977976,0.14403557993255012,0.005903633282183178,0.1102702518596454,0.8611264931690705,0.8611264931690705,0.36259860813935896,0.5052502215306144,0.8634009210238844,0.8634009210238844,0.9713155018346481
uniform_random,Uniform constrained random,256,2.1429493281487333,0.10174226434709235,0.14803719408283067,0.006493271262441844,0.12222078655946982,0.8879141174112213,0.8879141174112213,0.25752466538851515,0.4925900182238211,0.8636118278530747,0.8636118278530747,0.9720679716727341
uniform_random,Uniform constrained random,512,2.3364297166316197,0.11208603774206807,0.1472872928632733,0.00668771043771044,0.13273128755014352,0.915756492089584,0.915756492089584,0.24619809203142534,0.45601178451178453,0.8601986845926239,0.8601986845926239,0.974111671192037
wachter_style,Custom Wachter-style gradient,64,0.5071732313372195,0.014035324000158451,0.7963643790849673,0.5347222222222222,0.0,0.6854802254582609,0.6854802254582609,0.9131944444444444,0.4125,0.780982905982906,0.780982905982906,0.5449816683813524
wachter_style,Custom Wachter-style gradient,128,1.2683097075039398,0.03063785463356452,0.11564171122994654,0.0105958230958231,0.0,0.686702932174942,0.686702932174942,0.9097051597051597,0.37936117936117936,0.894963144963145,0.894963144963145,0.9523018853594662
wachter_style,Custom Wachter-style gradient,256,2.463176292624502,0.0542233197905478,0.08543417366946782,0.0043154761904761925,0.0003531071667869886,0.7126771976712013,0.7126771976712013,0.8178571428571428,0.4113095238095238,0.9200191570881227,0.9200191570881227,0.9852420589761545
wachter_style,Custom Wachter-style gradient,512,4.2831607072283635,0.07998470009586298,0.08759125649386776,0.0004789272030651343,0.000320600966612498,0.760380859464665,0.760380859464665,0.7176996944565692,0.44674814491488435,0.9409986565158979,0.9409986565158979,0.9872857264911172
