method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.11712836714000333,256.0,5
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.14829699071001415,512.0,5
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.09261281561001851,64.0,5
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.10019602069999564,128.0,5
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.11652447693000795,256.0,5
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1485594198000126,512.0,5
genetic_cfe,disease_to_no_disease,64,0.21,1.0,0.08500193171003957,64.0,5
genetic_cfe,disease_to_no_disease,128,0.4,1.73,0.1476076012900012,110.72,5
genetic_cfe,disease_to_no_disease,256,0.62,2.77,0.23778067615008694,177.28,5
genetic_cfe,disease_to_no_disease,512,0.89,3.8,0.3236888239500695,243.2,5
genetic_cfe,no_disease_to_disease,64,0.49,1.0,0.08586900203995355,64.0,5
genetic_cfe,no_disease_to_disease,128,0.81,1.48,0.1271198556100262,94.72,5
genetic_cfe,no_disease_to_disease,256,0.95,1.68,0.14417594263004502,107.52,5
genetic_cfe,no_disease_to_disease,512,0.99,1.75,0.151177086100015,112.0,5
proposed_countergan,disease_to_no_disease,64,0.95,1.0,0.08528883569997561,64.0,5
proposed_countergan,disease_to_no_disease,128,1.0,1.06,0.0893160782200539,67.84,5
proposed_countergan,disease_to_no_disease,256,1.0,1.06,0.08962454890999652,67.84,5
proposed_countergan,disease_to_no_disease,512,1.0,1.07,0.09127966221003589,68.48,5
proposed_countergan,no_disease_to_disease,64,0.99,1.0,0.08368261978013834,64.0,5
proposed_countergan,no_disease_to_disease,128,0.99,1.01,0.08267225845000212,64.64,5
proposed_countergan,no_disease_to_disease,256,0.99,1.03,0.08467176959000426,65.92,5
proposed_countergan,no_disease_to_disease,512,0.99,1.07,0.08787523105007494,68.48,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.86,1.0,0.37052128096005615,64.0,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,0.95,1.13,0.41417083949996597,72.32,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,0.99,1.2,0.4412299906899807,76.8,5
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,1.0,1.18,0.4359762200800196,75.52,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.3894434607101175,64.0,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,0.99,1.01,0.39175843378998254,64.64,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,0.99,1.03,0.39789208861991937,65.92,5
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,0.99,1.07,0.4102965846100233,68.48,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,0.88,1.0,0.3532401668099101,64.0,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,0.95,1.13,0.3991340184200999,72.32,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,1.0,1.2,0.4272796725299759,76.8,5
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,1.0,1.22,0.43621710626011007,78.08,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,0.97,1.0,0.37921488864987624,64.0,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,0.99,1.03,0.39195331699987945,65.92,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,0.99,1.05,0.391678653659892,67.2,5
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,0.99,1.09,0.4096016877801412,69.76,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,64,0.87,1.0,0.36943917521002734,64.0,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,0.96,1.1,0.4064572577398758,70.4,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,1.0,1.15,0.4297899900499397,73.6,5
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,1.0,1.18,0.44048366184986665,75.52,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.3643196716599414,64.0,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,0.99,1.01,0.36242392241001653,64.64,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,0.99,1.03,0.37327649874008784,65.92,5
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,0.99,1.07,0.3869823881800585,68.48,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.87,1.0,0.37049898291009414,64.0,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.95,1.14,0.42388999033985786,72.96,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.19,0.4438204825399862,76.16,5
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.21,0.45107746870012305,77.44,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.97,1.0,0.3921521130898691,64.0,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.99,1.03,0.4033726139900318,65.92,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.99,1.04,0.40853131405010573,66.56,5
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.99,1.09,0.4259318791300757,69.76,5
uniform_random,disease_to_no_disease,64,0.21,1.0,0.08459294287003104,64.0,5
uniform_random,disease_to_no_disease,128,0.38,1.73,0.1493707116799942,110.72,5
uniform_random,disease_to_no_disease,256,0.54,2.92,0.24838196713001706,186.88,5
uniform_random,disease_to_no_disease,512,0.65,4.5,0.3816787604800174,288.0,5
uniform_random,no_disease_to_disease,64,0.49,1.0,0.0855053540499739,64.0,5
uniform_random,no_disease_to_disease,128,0.89,1.48,0.1264173259799918,94.72,5
uniform_random,no_disease_to_disease,256,0.98,1.61,0.13741581209994366,103.04,5
uniform_random,no_disease_to_disease,512,0.99,1.65,0.14159167320000962,105.6,5
wachter_style,disease_to_no_disease,64,0.0,1.0,0.09073750377998295,64.0,5
wachter_style,disease_to_no_disease,128,0.0,1.0,0.0978852263400222,128.0,5
