candidate_budget,reference_method,comparator_method,metric,n_paired_factuals,mean_delta_proposed_minus_comparator,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,wilcoxon_p_raw,higher_is_better,wilcoxon_p_holm
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,valid_cfe_yield_at_k,200,0.0,0.0,0.0,1.0,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,full_k_success,200,0.0,0.0,0.0,1.0,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,robust_completeness_at_k,200,-0.0695,-0.09705000000000001,-0.046987499999999995,7.682268087521811e-07,True,0.0002235540013468847
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,proximity,200,-0.004348645508289337,-0.007603023873642087,-0.0012991930162534115,0.01804517755861581,False,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,sparsity,200,0.02369444444444445,0.010237500000000004,0.036285416666666674,0.00029392694952497586,True,0.07113032178504416
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,group_sparsity,200,0.02369444444444445,0.011898611111111125,0.03555208333333334,0.00029392694952497586,True,0.07113032178504416
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,diversity,200,-0.008863700227811933,-0.01180256653134711,-0.005975739537738263,3.342283556518924e-08,True,1.0060273505121961e-05
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,plausibility_distance,200,-0.007564699759441747,-0.014062156888753929,-0.0010851215878161856,0.036823895467008295,False,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,plausibility_inlier_rate,200,0.0095,-0.005,0.0275,0.3039406073449611,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,target_data_support,200,-0.053000000000000005,-0.0791575,-0.019824999999999985,0.0176122519002465,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,local_surrogate_fidelity,200,-0.008333333333333335,-0.018787878787878787,0.006969696969696972,0.1715951040930762,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps2_sparse_diverse,fidelity,200,-0.008333333333333335,-0.02349242424242425,0.0036363636363636307,0.1715951040930762,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,valid_cfe_yield_at_k,200,0.0025,0.0,0.006500000000000001,0.5,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,full_k_success,200,0.01,0.0,0.03,0.5,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,robust_completeness_at_k,200,-0.005500000000000001,-0.029012500000000004,0.026525000000000003,0.5823906702039213,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,proximity,200,0.008761988505721092,0.005931201674044133,0.01177646388951689,2.047937357100668e-08,False,6.205250192015023e-06
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,sparsity,200,-0.01780456349206348,-0.028821106150793637,-0.006801215277777756,0.029033638207713996,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,group_sparsity,200,-0.01780456349206348,-0.03005736607142856,-0.0061682787698412525,0.029033638207713996,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,diversity,200,0.00051579843275249,-0.002702298096846789,0.0035875682288315164,0.922239113225341,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,plausibility_distance,200,0.009647672815759798,0.0021913970189812175,0.01744317680052062,0.04835498751749926,False,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,plausibility_inlier_rate,200,0.0155,0.0010000000000000018,0.03,0.038026783862750185,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,target_data_support,200,0.011999999999999997,-0.008662499999999998,0.032744999999999996,0.19425186562692842,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,local_surrogate_fidelity,200,-0.006544289044289045,-0.01987121212121212,0.006183857808857806,0.3750519977071799,True,1.0
128,proposed_dp_eps4_sparse_diverse,proposed_dp_eps8_sparse_diverse,fidelity,200,-0.006544289044289045,-0.021729166666666664,0.005306089743589742,0.3750519977071799,True,1.0
