method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,100,2.02504488139999,1.03,65.92,43351,51200,0.84669921875,0.8435525324736339,0.8497938842898725
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,100,0.24718024877995048,1.0,64.0,4542,6400,0.7096875,0.6984438335228415,0.7206795968836125
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,100,0.4927180122898426,1.04,66.56,9187,12800,0.717734375,0.7098724708800573,0.7254656280746136
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,100,0.9985916278299737,1.04,66.56,18793,25600,0.7341015625,0.7286546528808007,0.7394782255108028
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,100,2.050542488799965,1.05,67.2,36574,51200,0.7143359375,0.7104071304664994,0.7182325843418336
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,64,100,0.23749706649000474,1.0,64.0,4504,6400,0.70375,0.692443906546632,0.7148116472909357
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,100,0.4816498392899484,1.17,74.88,9430,12800,0.73671875,0.7290189047243794,0.7442765526967374
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,100,0.9846353681401251,1.15,73.6,19511,25600,0.7621484375,0.7568937897755591,0.7673244226199109
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,100,2.01213136291999,1.16,74.24,38434,51200,0.7506640625,0.7468979649311976,0.7543925489971918
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,64,100,0.24410204666992286,1.0,64.0,4627,6400,0.72296875,0.7118731374869798,0.7337968589288248
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,100,0.4938853670498975,1.07,68.48,9344,12800,0.73,0.7222407748528952,0.7376212141397676
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,100,0.9987688098400759,1.07,68.48,18810,25600,0.734765625,0.729322932800789,0.740137871326282
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,100,2.029264854580142,1.07,68.48,36728,51200,0.71734375,0.7134271841500278,0.7212277043488905
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,100,0.2335540903600304,1.0,64.0,4273,6400,0.66765625,0.656018103777066,0.6790932530233251
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,100,0.4753112353399411,1.33,85.12,9066,12800,0.70828125,0.7003451004138975,0.7160924208681808
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,100,0.9770004872099889,1.32,84.48,19151,25600,0.7480859375,0.7427312084795671,0.7533662236354125
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,100,2.008085041250033,1.33,85.12,38218,51200,0.7464453125,0.7426585981234144,0.7501950488103879
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,100,0.24460364330001538,1.0,64.0,3796,6400,0.593125,0.5810371849333456,0.6051010896733955
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,100,0.49368699494001705,1.14,72.96,8038,12800,0.62796875,0.6195581245811199,0.636302588044553
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,100,0.9913013128502461,1.16,74.24,17117,25600,0.6686328125,0.6628418614193684,0.6743731621108421
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,100,2.015338963810118,1.18,75.52,34101,51200,0.66603515625,0.6619376459234334,0.67010775371076
uniform_random,disease_to_no_disease,64,100,0.047187622629980976,1.0,64.0,1699,6400,0.26546875,0.2547931959681549,0.2764256795608409
uniform_random,disease_to_no_disease,128,100,0.08884638781996727,1.27,81.28,3792,12800,0.29625,0.2884019891528959,0.3042202705981693
uniform_random,disease_to_no_disease,256,100,0.1794318284500605,1.3,83.2,8755,25600,0.3419921875,0.33620527032104414,0.3478265179162267
uniform_random,disease_to_no_disease,512,100,0.36858830680004756,1.32,84.48,19503,51200,0.38091796875,0.3767207248153406,0.385133080434668
uniform_random,no_disease_to_disease,64,100,0.04452793639000447,1.0,64.0,1427,6400,0.22296875,0.2129390045943696,0.23333085970470419
uniform_random,no_disease_to_disease,128,100,0.08816790956992918,1.19,76.16,3363,12800,0.262734375,0.25518183362014923,0.27042928710990644
