dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0435,0.0103949774196751,0.0377,0.0502,10
ecg,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0636999999999999,0.0089944427287075,0.0591,0.0696,10
ecg,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0867999999999999,0.0122092860834148,0.0799999999999999,0.0941999999999999,10
ecg,dp_eps16,released_discriminator_score,evaluation_auc,0.7217994000000001,0.0071581481962865,0.7175648,0.7261277175,10
ecg,dp_eps16,released_discriminator_score,evaluation_accuracy,0.6748000000000001,0.0084564242508941,0.6702,0.6799999999999999,10
ecg,dp_eps16,released_discriminator_score,evaluation_balanced_accuracy,0.6748000000000001,0.0084564242508941,0.67005,0.68,10
ecg,dp_eps16,released_discriminator_score,evaluation_membership_advantage,0.3496,0.0169128485017883,0.3403,0.3601,10
ecg,dp_eps16,released_discriminator_score,evaluation_tpr_at_calibrated_threshold,0.7211,0.0287496859886233,0.7036,0.7367025,10
ecg,dp_eps16,released_discriminator_score,evaluation_fpr_at_calibrated_threshold,0.3715,0.0364699267281352,0.3491,0.3912025,10
ecg,dp_eps16,released_discriminator_score,tpr_at_fpr_0.001,0.0293,0.0083937807664696,0.0242,0.0341,10
ecg,dp_eps16,released_discriminator_score,tpr_at_fpr_0.01,0.1128,0.0165516028092615,0.1033,0.1227,10
ecg,dp_eps16,released_discriminator_score,tpr_at_fpr_0.05,0.203,0.0083931188746761,0.1976,0.2074999999999999,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_auc,0.42594635,0.0133380668890252,0.41850387875,0.4340626,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_accuracy,0.44265,0.0212433649772241,0.42814875,0.4529499999999999,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_balanced_accuracy,0.4426500000000001,0.0212433649772241,0.42924625,0.453,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_membership_advantage,-0.1146999999999999,0.0424867299544484,-0.1431025,-0.0939999999999999,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_tpr_at_calibrated_threshold,0.5234000000000001,0.0375387207501208,0.5015975,0.5452,10
ecg,dp_eps16,single_draw_loss_threshold,evaluation_fpr_at_calibrated_threshold,0.6381,0.0705367516499968,0.6018974999999999,0.6836,10
ecg,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0261,0.0079365539681204,0.0217,0.0312,10
ecg,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.01,0.0482999999999999,0.0101000550053507,0.0423999999999999,0.0542,10
ecg,dp_eps16,single_draw_loss_threshold,tpr_at_fpr_0.05,0.088,0.0090184995056457,0.0828,0.0934,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.6054447,0.0184252017570741,0.5942234550000001,0.61546588,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.5706,0.0115585466214399,0.5642987500000001,0.5776000000000001,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.5706,0.0115585466214399,0.56395,0.57750125,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,0.1412,0.0231170932428798,0.1282975,0.1554,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5576000000000001,0.0814482794307051,0.5084000000000001,0.6061000000000001,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.4164,0.0808787844726772,0.369995,0.4649999999999999,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0095,0.0066206746886804,0.0059,0.0138,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0445,0.0160156173780469,0.0353,0.054,10
ecg,dp_eps2,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.1517,0.0267749883286622,0.1359,0.1669,10
ecg,dp_eps2,multi_draw_mean_objective,evaluation_auc,0.50024245,0.0125440094654557,0.49332595125,0.5081577824999999,10
