method,method_label,candidate_budget,robust_full_k_success,target_data_support,diversity,robust_completeness_at_k,plausibility_inlier_rate,valid_cfe_yield_at_k,changed_set_dice,plausibility,local_surrogate_fidelity,plausibility_distance,mean_target_logit_margin,coverage_at_1,full_k_success,group_sparsity,proximity,sparsity,fidelity,constraint_validity
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,0.19999999999999998,0.5227,0.07477934665977955,0.7909999999999999,0.044000000000000004,1.0,0.9368697280418246,0.599074933855043,0.8422727272727273,0.599074933855043,6.609252293109893,1.0,1.0,0.7076944444444444,0.07487427921034395,0.7076944444444444,0.8422727272727273,1.0
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,0.18,0.4958000000000001,0.07296099245548249,0.7725,0.04,1.0,0.9188851813239507,0.6328865688016,0.8472727272727272,0.6328865688016,7.3351561206579206,1.0,1.0,0.7676666666666667,0.06781073439866304,0.7676666666666667,0.8472727272727272,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,0.315,0.6025666666666667,0.06135895904153585,0.821,0.05916666666666666,0.983,0.9652324938842836,0.5142748987078661,0.8438810965535104,0.5142748987078661,5.510828290581703,1.0,0.96,0.5523869047619048,0.09006910560652613,0.5523869047619048,0.8438810965535104,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,0.305,0.5958,0.07534753559157252,0.833,0.045000000000000005,1.0,0.954855150758444,0.5632876564723734,0.8386363636363636,0.5632876564723734,6.21751426577568,1.0,1.0,0.6197777777777778,0.08662011755630374,0.6197777777777778,0.8386363636363636,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,0.31,0.572,0.07942856255918741,0.8285,0.043000000000000003,1.0,0.9427471013767579,0.6081885273116382,0.8456060606060607,0.6081885273116382,7.042895349860191,1.0,1.0,0.6915,0.07974217287264765,0.6915,0.8456060606060607,1.0
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,0.22500000000000003,0.5206,0.07430436213500799,0.8155000000000001,0.043000000000000003,1.0,0.9213743427140717,0.62904208757821,0.8431818181818183,0.62904208757821,7.321490643620491,1.0,1.0,0.7645277777777778,0.06941451774910093,0.7645277777777778,0.8431818181818183,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,64,0.23,0.5576427437641723,0.053276977487364596,0.7615000000000001,0.05325777453838679,0.956,0.9583889580381675,0.5097163941561892,0.8296181341008928,0.5097163941561892,4.349541229186009,0.99,0.88,0.5856108366627074,0.0854425589369648,0.5856108366627074,0.8296181341008928,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,128,0.18,0.5428,0.0664838353637606,0.7635000000000001,0.05450000000000001,1.0,0.9493911164273933,0.5557229567129318,0.8303030303030303,0.5557229567129318,4.987872665822506,1.0,1.0,0.6434722222222222,0.08227147204801441,0.6434722222222222,0.8303030303030303,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,256,0.195,0.5265,0.07387465505860746,0.7765000000000001,0.048999999999999995,1.0,0.9370996231479463,0.6022307247776442,0.8393939393939395,0.6022307247776442,6.158650971055031,1.0,1.0,0.7072222222222223,0.07775041881948709,0.7072222222222223,0.8393939393939395,1.0
proposed_dp_eps4_sparse_diverse,DP-CounterGAN epsilon=4 + full-budget sparse-diverse pruning/MMR,512,0.15500000000000003,0.5098,0.07087532400153576,0.7845,0.051000000000000004,1.0,0.9199589922870182,0.634886485630901,0.8512121212121213,0.634886485630901,6.90858717918396,1.0,1.0,0.7684166666666666,0.06984717262908816,0.7684166666666666,0.8512121212121213,1.0
