direction,method,method_family,cfe_logit,plaintext_logit_recomputed,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.110429435968399,-0.11042939708445831,-0.11017511050286177,0.00025428658159654116,True
no_disease_to_disease,genetic_cfe,Baseline,0.1104461848735809,0.11044631772164482,0.11149936054199362,0.0010530428203488068,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1104627847671508,-0.11046273681956326,-0.11125655786048214,0.0007938210409188795,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1104907616972923,0.11049076708201787,0.11154069747980389,0.001049930397786017,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1104907616972923,0.11049076708201787,0.11159973519233518,0.0011089681103173127,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1104919910430908,0.11049203772772848,0.11109802083707816,0.0006059831093496865,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1105343699455261,0.11053434109001548,0.11128931680816283,0.0007549757181473521,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1105343699455261,0.11053434109001548,0.11128720755639396,0.0007528664663784823,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1106303259730339,0.11063039274772221,0.1110151201984118,0.00038472745068958425,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1106303259730339,0.11063039274772221,0.11106605456265473,0.0004356618149325142,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1106303259730339,0.11063039274772221,0.11112390100323814,0.0004935082555159315,True
no_disease_to_disease,genetic_cfe,Baseline,0.1107067316770553,0.11070667389475139,0.1114971737061111,0.0007904998113597156,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1107319295406341,-0.11073183028754757,-0.11078632219571004,5.449190816246563e-05,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.110756516456604,-0.11075651756568916,-0.11045583798844606,0.0003006795772430987,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.110768049955368,-0.11076810610477683,-0.11082555649678646,5.7450392009633644e-05,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1107798516750335,-0.11077982640372347,-0.11056549688315048,0.0002143295205729867,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1107798516750335,-0.11077982640372347,-0.11057180269954581,0.00020802370417766225,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1107798516750335,-0.11077982640372347,-0.11060770602286547,0.00017212038085799575,True
