candidate_cohort_seed,cohort_position,query_id,method,method_family,direction,candidate_budget,rank,cfe_logit
101,364,32,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,1,-0.209717184305191
101,365,29,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,disease_to_no_disease,1024,10,-0.455245703458786
101,366,119,genetic_cfe,Baseline,no_disease_to_disease,1024,4,0.4261688888072967
101,367,121,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,7,0.1492134928703308
101,368,144,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,7,0.2099019885063171
101,369,164,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,1,0.2086670398712158
101,370,132,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,6,0.1149998009204864
101,371,104,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,4,1.0613826513290403
101,372,89,wachter_style,Baseline,disease_to_no_disease,1024,1,-0.3684390485286712
101,373,48,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,4,-0.6052509546279907
101,374,66,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,3,-0.1095400154590606
101,375,8,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,2,-0.5744935274124146
101,376,32,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,6,-0.5212597846984863
101,377,76,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,3,-0.190191775560379
101,378,102,dice_gradient_style,Baseline,no_disease_to_disease,1024,3,0.9761396646499634
101,379,107,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,4,0.3598338365554809
101,380,139,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,8,0.1235640943050384
101,381,121,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,6,0.4735360443592071
101,382,157,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,1,0.2084543704986572
101,383,170,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,no_disease_to_disease,1024,3,0.1808773130178451
101,384,61,genetic_cfe,Baseline,disease_to_no_disease,1024,7,-0.4880041778087616
101,385,97,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,2,-0.1444475352764129
101,386,54,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,10,-0.8976643085479736
