dataset,variant,attack_seed,exact_match_rate,near_duplicate_rate_0_001,near_duplicate_rate_0_01,dcr_mean,dcr_median,dcr_p01,dcr_p05,nndr_mean,nndr_median,train_to_holdout_dcr_ratio_median
heartplus,dp_eps2,707,0.0,0.001,0.023,0.10112581295777606,0.08436881154070362,0.004832658975406541,0.018434473908558253,0.8217407423397628,0.8716194416694585,0.990986007573119
heartplus,countergan,808,0.0,0.0,0.0,0.12841465347749267,0.1231552090864495,0.028628799847460615,0.05413628921992433,0.8608814302933601,0.8996278517258227,0.9841974496871064
heartplus,dp_eps16,808,0.0,0.005,0.038,0.1012770194419235,0.09326933363210813,0.0023758030846626347,0.012757793184374044,0.8070007091213909,0.8640874996904317,0.9873428639370474
heartplus,dp_eps8,808,0.0,0.008,0.051,0.09330783453857426,0.0785700583347585,0.0013825914311094351,0.009943531269487885,0.8026184576876235,0.8727909144849104,1.0046378114376973
heartplus,dp_eps4,808,0.0,0.005,0.048,0.10170590557398838,0.09430579924307042,0.0015369632988547202,0.011053715166511366,0.8062496605297025,0.8682401823316517,1.0087460114455067
heartplus,dp_eps2,808,0.0,0.001,0.028,0.10164267728618542,0.09058056139514614,0.0034752639829382817,0.017516407402230153,0.812614280374473,0.8680911831472455,0.9829316608671623
heartplus,countergan,909,0.0,0.0,0.0,0.1277457708604367,0.12125988009464914,0.029051119339125686,0.05826865221644631,0.8583567643588849,0.8972537928872817,0.9785162286416249
heartplus,dp_eps16,909,0.0,0.007,0.033,0.09918375379417016,0.08683072147482641,0.0021682655341385064,0.014740847455474078,0.8099277615566118,0.8782852689486367,1.015257211958617
heartplus,dp_eps8,909,0.0,0.009,0.05,0.08972499846830909,0.07139493445195413,0.001200937844304696,0.010082192128895747,0.8003109933133754,0.8671495189302162,0.9938239219154763
heartplus,dp_eps4,909,0.0,0.003,0.036,0.09919015912159049,0.0884017958981605,0.0032075534604037175,0.013117460459933578,0.8071240219052356,0.8652704824450613,1.0250229553973516
heartplus,dp_eps2,909,0.0,0.003,0.027,0.09852213519561656,0.08266892578681917,0.004697699418248641,0.01793930181741956,0.8133149420904601,0.8686287955851644,0.9759105906129182
heartplus,countergan,1010,0.0,0.0,0.0,0.13014264742844225,0.12465652585288156,0.028383990801982072,0.0549647852915231,0.8606911435609423,0.8972424519468782,0.9745583867825272
heartplus,dp_eps16,1010,0.0,0.002,0.031,0.09911715711032776,0.08860558793230355,0.0031653447046250172,0.016371491254523442,0.8041796523155464,0.865216378751279,0.9848212547937114
heartplus,dp_eps8,1010,0.0,0.005,0.048,0.09158998511861018,0.07416981394230018,0.0020063085271309856,0.010704527424571135,0.7926185073089994,0.8563453049801762,0.9885858429072125
heartplus,dp_eps4,1010,0.0,0.004,0.043,0.10038959247682115,0.0885775649352166,0.002410235825776707,0.013255603753010384,0.803422015953093,0.8607113035450253,1.0053661877322146
heartplus,dp_eps2,1010,0.0,0.003,0.023,0.10159636302928143,0.0838072361475892,0.005612787692707876,0.01840119562854659,0.8183644193107867,0.8721818481743793,0.9908217273762139
