dataset,variant,attack,attack_seed,calibration_rows_per_group,evaluation_rows_per_group,latent_draws,calibration_raw_auc,orientation_selected_on_calibration,calibration_threshold,evaluation_auc,evaluation_accuracy,evaluation_balanced_accuracy,evaluation_tpr_at_calibrated_threshold,evaluation_fpr_at_calibrated_threshold,evaluation_membership_advantage,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05
heartplus,dp_eps16,single_draw_loss_threshold,404,1000,1000,16,0.496304,-1,0.37136310338974,0.49483900000000003,0.4955,0.4955,0.727,0.736,-0.009000000000000008,0.001,0.012,0.062
heartplus,dp_eps16,multi_draw_reconstruction,404,1000,1000,16,0.49742,-1,0.14312762022018433,0.4919049999999999,0.496,0.496,0.748,0.756,-0.008000000000000007,0.001,0.013,0.06
heartplus,dp_eps16,multi_draw_mean_objective,404,1000,1000,16,0.498261,-1,0.4186576306819916,0.493408,0.492,0.492,0.719,0.735,-0.016000000000000014,0.002,0.016,0.063
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5118875,1,0.016269476787545978,0.507626,0.5135,0.5135000000000001,0.532,0.505,0.027000000000000024,0.002,0.007,0.048
heartplus,dp_eps16,released_discriminator_score,404,1000,1000,0,0.5151574999999999,1,1.6893876791000366,0.492985,0.5035,0.5035000000000001,0.614,0.607,0.007000000000000006,0.003,0.014,0.043
heartplus,dp_eps8,single_draw_loss_threshold,404,1000,1000,16,0.48555100000000007,-1,0.2938217520713806,0.493777,0.4935,0.4935,0.74,0.753,-0.013000000000000012,0.0,0.015,0.061
heartplus,dp_eps8,multi_draw_reconstruction,404,1000,1000,16,0.492335,-1,0.12025631964206696,0.49829999999999997,0.498,0.498,0.75,0.754,-0.0040000000000000036,0.005,0.017,0.063
heartplus,dp_eps8,multi_draw_mean_objective,404,1000,1000,16,0.490065,-1,0.37936848402023315,0.490411,0.4945,0.4945,0.735,0.746,-0.01100000000000001,0.001,0.014,0.067
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.51392,1,5.6860969288807794e-05,0.48438000000000003,0.4935,0.4935,0.589,0.602,-0.013000000000000012,0.004,0.017,0.052
heartplus,dp_eps8,released_discriminator_score,404,1000,1000,0,0.5088645,1,0.00794626772403717,0.496616,0.5025,0.5025,0.77,0.765,0.0050000000000000044,0.001,0.014,0.04
heartplus,dp_eps4,single_draw_loss_threshold,404,1000,1000,16,0.491536,-1,0.4352898597717285,0.49589500000000003,0.4935,0.49350000000000005,0.669,0.682,-0.013000000000000012,0.001,0.005,0.06
heartplus,dp_eps4,multi_draw_reconstruction,404,1000,1000,16,0.497198,-1,0.10710904002189636,0.499586,0.5085,0.5085,0.782,0.765,0.017000000000000015,0.003,0.015,0.06
heartplus,dp_eps4,multi_draw_mean_objective,404,1000,1000,16,0.49595999999999996,-1,0.2726738452911377,0.49583,0.5005,0.5005,0.757,0.756,0.0010000000000000009,0.004,0.01,0.059
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5191574999999999,1,0.03140071818513915,0.5011125000000001,0.4895,0.48950000000000005,0.445,0.466,-0.02100000000000002,0.0,0.008,0.045
heartplus,dp_eps4,released_discriminator_score,404,1000,1000,0,0.5137115,1,2.2792623043060303,0.49476,0.5025,0.5025,0.567,0.562,0.004999999999999893,0.002,0.004,0.038
heartplus,dp_eps2,single_draw_loss_threshold,404,1000,1000,16,0.49492699999999995,-1,0.14341703057289124,0.48802100000000004,0.4945,0.4945,0.784,0.795,-0.01100000000000001,0.007,0.019,0.049
heartplus,dp_eps2,multi_draw_reconstruction,404,1000,1000,16,0.5037929999999999,1,-1.0627045631408691,0.5124839999999999,0.508,0.508,0.831,0.815,0.016000000000000014,0.001,0.007,0.061
heartplus,dp_eps2,multi_draw_mean_objective,404,1000,1000,16,0.49928900000000004,-1,0.16889342665672302,0.48881499999999994,0.494,0.494,0.805,0.817,-0.0119999999999999,0.003,0.016,0.047
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,404,1000,1000,16,0.5142464999999999,1,0.03569891210081366,0.519566,0.5135,0.5135000000000001,0.229,0.202,0.026999999999999996,0.003,0.008,0.042
heartplus,dp_eps2,released_discriminator_score,404,1000,1000,0,0.5124215,1,1.9918739795684814,0.49324100000000004,0.5005,0.5005,0.601,0.6,0.0010000000000000009,0.0,0.009,0.043
heartplus,countergan,single_draw_loss_threshold,505,1000,1000,16,0.4964059999999999,-1,0.1531289517879486,0.5019750000000001,0.4975,0.4975,0.524,0.529,-0.0050000000000000044,0.0,0.005,0.043
heartplus,countergan,multi_draw_reconstruction,505,1000,1000,16,0.49271,-1,0.10090245306491852,0.499992,0.491,0.491,0.686,0.704,-0.017999999999999905,0.0,0.005,0.044
heartplus,countergan,multi_draw_mean_objective,505,1000,1000,16,0.49475300000000005,-1,0.1376951038837433,0.499037,0.494,0.494,0.618,0.63,-0.01200000000000001,0.0,0.005,0.044
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.510158,1,-0.0007473276424817543,0.5048325,0.495,0.495,0.646,0.656,-0.010000000000000009,0.001,0.008,0.04
heartplus,countergan,released_discriminator_score,505,1000,1000,0,0.5125795,1,4.6988654136657715,0.5003070000000001,0.5095,0.5095000000000001,0.26,0.241,0.019000000000000017,0.002,0.013,0.066
heartplus,dp_eps16,single_draw_loss_threshold,505,1000,1000,16,0.495531,-1,0.7607648968696594,0.487121,0.4755,0.47550000000000003,0.559,0.608,-0.04899999999999993,0.0,0.003,0.046
heartplus,dp_eps16,multi_draw_reconstruction,505,1000,1000,16,0.49065800000000004,-1,0.6946861743927002,0.48845199999999994,0.4815,0.4815,0.488,0.525,-0.03700000000000003,0.0,0.014,0.046
heartplus,dp_eps16,multi_draw_mean_objective,505,1000,1000,16,0.494974,-1,0.11472849547863007,0.48376300000000005,0.502,0.502,0.885,0.881,0.0040000000000000036,0.0,0.013,0.049
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.509341,1,-0.012246427448871638,0.4884515,0.4815,0.4815,0.488,0.525,-0.03700000000000003,0.0,0.014,0.046
heartplus,dp_eps16,released_discriminator_score,505,1000,1000,0,0.5228105,1,3.739471435546875,0.499726,0.503,0.503,0.415,0.409,0.006000000000000005,0.0,0.007,0.05
heartplus,dp_eps8,single_draw_loss_threshold,505,1000,1000,16,0.500718,1,-0.5231895446777344,0.510406,0.509,0.509,0.354,0.336,0.01799999999999996,0.002,0.013,0.051
heartplus,dp_eps8,multi_draw_reconstruction,505,1000,1000,16,0.50393,1,-0.4520059823989868,0.506629,0.516,0.516,0.483,0.451,0.03199999999999997,0.003,0.008,0.053
heartplus,dp_eps8,multi_draw_mean_objective,505,1000,1000,16,0.499136,-1,2.7691869735717773,0.48890700000000004,0.5025,0.5025,0.034,0.029,0.005000000000000001,0.0,0.008,0.054
heartplus,dp_eps8,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.5138975,1,-0.013969589398716231,0.5181129999999999,0.5245,0.5245,0.655,0.606,0.049000000000000044,0.001,0.012,0.059
heartplus,dp_eps8,released_discriminator_score,505,1000,1000,0,0.5173745000000001,1,5.177314758300781,0.5039349999999999,0.504,0.504,0.325,0.317,0.008000000000000007,0.0,0.01,0.048
heartplus,dp_eps4,single_draw_loss_threshold,505,1000,1000,16,0.498073,-1,2.199798107147217,0.4879465,0.4885,0.4885,0.157,0.18,-0.022999999999999993,0.002,0.014,0.049
heartplus,dp_eps4,multi_draw_reconstruction,505,1000,1000,16,0.493385,-1,1.6927837133407593,0.49396700000000004,0.503,0.503,0.19,0.184,0.006000000000000005,0.0,0.016,0.048
heartplus,dp_eps4,multi_draw_mean_objective,505,1000,1000,16,0.49729,-1,2.2112209796905518,0.490288,0.4955,0.4955,0.163,0.172,-0.00899999999999998,0.0,0.016,0.05
heartplus,dp_eps4,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.5066125,1,0.012541280320988002,0.4939684999999999,0.503,0.503,0.19,0.184,0.006000000000000005,0.0,0.016,0.048
heartplus,dp_eps4,released_discriminator_score,505,1000,1000,0,0.5192765,1,3.8743908405303955,0.496859,0.502,0.502,0.386,0.382,0.0040000000000000036,0.0,0.008,0.044
heartplus,dp_eps2,single_draw_loss_threshold,505,1000,1000,16,0.49623300000000004,-1,0.283168762922287,0.48909600000000003,0.4945,0.49450000000000005,0.68,0.691,-0.010999999999999899,0.0,0.007,0.043
heartplus,dp_eps2,multi_draw_reconstruction,505,1000,1000,16,0.49603600000000003,-1,0.06700734049081802,0.500361,0.5025,0.5025,0.847,0.842,0.0050000000000000044,0.001,0.007,0.042
heartplus,dp_eps2,multi_draw_mean_objective,505,1000,1000,16,0.497085,-1,0.2883424162864685,0.497594,0.5065,0.5065,0.72,0.707,0.013000000000000012,0.0,0.009,0.041
heartplus,dp_eps2,calibrated_gaussian_reconstruction_likelihood,505,1000,1000,16,0.48845950000000005,-1,0.005596023897211977,0.503456,0.5045,0.5045000000000001,0.67,0.661,0.009000000000000008,0.0,0.005,0.045
heartplus,dp_eps2,released_discriminator_score,505,1000,1000,0,0.5169805000000001,1,6.353695392608643,0.49916099999999997,0.501,0.501,0.212,0.21,0.0020000000000000018,0.0,0.005,0.052
heartplus,countergan,single_draw_loss_threshold,606,1000,1000,16,0.500437,1,-0.16707594692707062,0.492596,0.493,0.493,0.52,0.534,-0.014000000000000012,0.006,0.015,0.047
heartplus,countergan,multi_draw_reconstruction,606,1000,1000,16,0.49930899999999995,-1,0.053865645080804825,0.504763,0.498,0.498,0.934,0.938,-0.0039999999999998925,0.003,0.014,0.054
heartplus,countergan,multi_draw_mean_objective,606,1000,1000,16,0.502274,1,-0.5282785892486572,0.494058,0.5045,0.5045000000000001,0.79,0.781,0.009000000000000008,0.005,0.015,0.047
heartplus,countergan,calibrated_gaussian_reconstruction_likelihood,606,1000,1000,16,0.5075945000000001,1,0.043716587315220434,0.4987545,0.4915,0.49150000000000005,0.672,0.689,-0.016999999999999904,0.0,0.014,0.06
heartplus,countergan,released_discriminator_score,606,1000,1000,0,0.4956625,-1,-4.054290294647217,0.49281700000000006,0.496,0.496,0.599,0.607,-0.008000000000000007,0.002,0.007,0.047
heartplus,dp_eps16,single_draw_loss_threshold,606,1000,1000,16,0.51383,1,-1.126497745513916,0.49061,0.488,0.488,0.529,0.553,-0.02400000000000002,0.002,0.003,0.04
heartplus,dp_eps16,multi_draw_reconstruction,606,1000,1000,16,0.5098090000000001,1,-0.9034793376922607,0.491692,0.4805,0.48050000000000004,0.539,0.578,-0.038999999999999924,0.0,0.007,0.047
heartplus,dp_eps16,multi_draw_mean_objective,606,1000,1000,16,0.519177,1,-0.7583357691764832,0.489309,0.499,0.499,0.396,0.398,-0.0020000000000000018,0.0,0.002,0.045
heartplus,dp_eps16,calibrated_gaussian_reconstruction_likelihood,606,1000,1000,16,0.5135164999999999,1,0.028290712149831088,0.4934335000000001,0.4805,0.48050000000000004,0.539,0.578,-0.038999999999999924,0.006,0.013,0.046
