dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
heartplus,dp_eps4,dcr_mean,0.10052526964878919,0.0012506935540707539,0.0998192900754182,0.10130680671457587,10
heartplus,dp_eps4,dcr_median,0.08969141086842664,0.0032791902936096418,0.08775373875206796,0.09156695907006515,10
heartplus,dp_eps4,dcr_p01,0.0022914641392159886,0.0009482192281327458,0.0017663250806284909,0.002886919339226345,10
heartplus,dp_eps4,dcr_p05,0.01361455505792808,0.0021445944059128672,0.012369878663763875,0.014918471192021247,10
heartplus,dp_eps4,nndr_mean,0.8049940707475868,0.003747001341242954,0.8028557845630596,0.807273319050742,10
heartplus,dp_eps4,nndr_median,0.8636863853882663,0.005414330248774402,0.8606289371278176,0.8669191954658584,10
heartplus,dp_eps4,train_to_holdout_dcr_ratio_median,1.0148204607576348,0.013009328420205577,1.0080211400644707,1.0230664819535669,10
heartplus,dp_eps8,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps8,near_duplicate_rate_0_001,0.006500000000000001,0.0021730674684008826,0.0053,0.007899999999999999,10
heartplus,dp_eps8,near_duplicate_rate_0_01,0.047299999999999995,0.0032335051500740736,0.04529999999999999,0.049,10
heartplus,dp_eps8,dcr_mean,0.09245072702118615,0.0018952503245830018,0.09131816161548861,0.09352544398226317,10
heartplus,dp_eps8,dcr_median,0.07559891999093657,0.002311383653107649,0.07428809151244815,0.0769726216862762,10
heartplus,dp_eps8,dcr_p01,0.0015508056162045352,0.000401239762362982,0.0013185206959947782,0.0017819055200809326,10
heartplus,dp_eps8,dcr_p05,0.010762038528394826,0.0008334198836834711,0.010332209591834726,0.011306042180358827,10
heartplus,dp_eps8,nndr_mean,0.8005613171686079,0.005429927016409878,0.7974168893322584,0.8037939563105543,10
heartplus,dp_eps8,nndr_median,0.8677296382732879,0.0077137121200216005,0.8633128719738596,0.8724656404181157,10
heartplus,dp_eps8,train_to_holdout_dcr_ratio_median,0.993512724510915,0.013173343085164631,0.9855176787376276,1.000573576971124,10
