direction,method,method_family,cfe_logit,plaintext_logit_recomputed,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1504812240600586,0.1504808651238685,0.15048637107114268,5.505947274192513e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1504912376403808,0.1504915004461136,0.1504969043999635,5.403953849902887e-06,True
no_disease_to_disease,genetic_cfe,Baseline,0.1505436897277832,0.15054362032978652,0.15054909636695898,5.47603717246381e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1505751609802246,-0.15057477393752539,-0.15056989249243594,4.881445089449654e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1505980491638183,0.15059736877052643,0.15060257149687895,5.202726352515619e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1508870124816894,-0.1508869779369606,-0.15088169966593354,5.278271027059356e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1510829925537109,-0.1510832983687731,-0.151078125846445,5.172522328095175e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1511206626892089,-0.15112087090138093,-0.15111501173567146,5.8591657094708705e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1513972282409668,0.15139794088377911,0.15140287667022345,4.935786444337786e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,-0.1516094207763672,-0.15161110218135487,-0.15160512495718106,5.977224173808748e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1516704559326172,0.15167065076505715,0.1516760200542471,5.369289189954829e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1519594192504882,0.15195920287809717,0.15196528318549507,6.080307397904328e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1523008346557617,0.15230086404238818,0.15230623021837628,5.366175988091859e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1529288291931152,0.15292875240111403,0.15293351425710608,4.761855992047037e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1531333923339843,0.15313335354618296,0.15313819393107925,4.840384896287464e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1535291671752929,0.15352920992428754,0.15353410175826318,4.89183397564541e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1538872718811035,-0.1538864737858079,-0.1538811284398907,5.345345917173727e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1539626121520996,0.1539624346061661,0.15396735500374595,4.9203975798495225e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.155066967010498,0.15506697012030202,0.15507266491931965,5.69479901763037e-06,True
disease_to_no_disease,genetic_cfe,Baseline,-0.1563425064086914,-0.15634302337353745,-0.15633799457048211,5.028803055334707e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1572389602661132,-0.15723886063302484,-0.1572335762370305,5.2843959943427166e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1573529243469238,-0.15735220947649964,-0.1573464746750323,5.734801467344175e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1578636169433593,0.1578636364678836,0.15786886871485808,5.232246974490318e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1579208374023437,0.15792041216773622,0.1579252024790912,4.790311354974097e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1592822074890136,-0.15928181514791717,-0.1592760957508042,5.71939711296876e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1594328880310058,0.1594330481122075,0.1594379592461169,4.911133909407672e-06,True
