direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,genetic_cfe,Baseline,101,14.114040740786294,14.114048635890875,7.895104580768475e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,0.7188181216171401,0.7188232479343183,5.1263171781945616e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,0.9337912622214315,0.9337966170259618,5.354804530344204e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,1.3906179202292286,1.3906231210405997,5.20081137111994e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,0.6781060748935719,0.6781113555102083,5.280616636405e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,6.583019385894405,6.583026484374497,7.098480092615489e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-1.7426881606242972,-1.7426831764388937,4.984185403511532e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-4.033071401001281,-4.033067058939182,4.342062098317001e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-6.258254388256802,-6.258250599350659,3.78890614260996e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-18.277065094080726,-18.277063887977462,1.2061032634846924e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-1.961040826699458,-1.9610359659105872,4.860788870741928e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-7.9616730420265425,-7.961669622528238,3.4194983040691795e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,6.873428688910922,6.873435072484532,6.3835736101580665e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,1.9002157348851156,1.9002215502103166,5.8153252009418566e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,3.4841040028832495,3.484110076794944,6.073911694493006e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,12.258358941055441,12.258367032747934,8.091692492939728e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,3.84102293140468,3.8410296343580277,6.7029533474816105e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,1.3177550520866887,1.317760138747668,5.086660979314317e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-8.457594052612851,-8.457590155282855,3.89732999650505e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-36.08146875129418,-36.08147173580007,2.984505890424316e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-12.60609615508184,-12.606093470312835,2.6847690044462524e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-0.390979632424461,-0.3909743577096977,5.274714763303656e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-15.403656897457328,-15.403655309242266,1.5882150616874924e-06,True
